Delta Call,Bid Call,Ask Call,Exp,Strike,Bid Put,Ask Put,Delta Put,Expiration_Date
0.9999,377.45,382.1,8-Jan-21,350,0.01,0.03,-0.0004,8 JAN 21  (4)  100 (Weeklys)
0.9994,367.45,372.15,8-Jan-21,360,0.02,0.03,-0.0005,8 JAN 21  (4)  100 (Weeklys)
0.9999,357.45,362.1,8-Jan-21,370,0.02,0.03,-0.0006,8 JAN 21  (4)  100 (Weeklys)
0.9993,347.45,352.15,8-Jan-21,380,0.02,0.04,-0.0007,8 JAN 21  (4)  100 (Weeklys)
0.9993,337.45,342.15,8-Jan-21,390,0.02,0.05,-0.0008,8 JAN 21  (4)  100 (Weeklys)
0.9993,327.45,332.15,8-Jan-21,400,0.03,0.05,-0.001,8 JAN 21  (4)  100 (Weeklys)
1,317.35,322.1,8-Jan-21,410,0.02,0.05,-0.0009,8 JAN 21  (4)  100 (Weeklys)
0.9998,307.4,312.15,8-Jan-21,420,0.02,0.05,-0.0009,8 JAN 21  (4)  100 (Weeklys)
0.9998,297.4,302.15,8-Jan-21,430,0.05,0.08,-0.0016,8 JAN 21  (4)  100 (Weeklys)
0.9971,287.85,291.95,8-Jan-21,440,0.06,0.07,-0.0017,8 JAN 21  (4)  100 (Weeklys)
0.9991,277.7,281.9,8-Jan-21,450,0.07,0.09,-0.0021,8 JAN 21  (4)  100 (Weeklys)
0.9985,272.4,277.25,8-Jan-21,455,0.05,0.1,-0.002,8 JAN 21  (4)  100 (Weeklys)
0.9945,268.05,272,8-Jan-21,460,0.05,0.12,-0.0023,8 JAN 21  (4)  100 (Weeklys)
0.9978,262.45,267.25,8-Jan-21,465,0.03,0.12,-0.0021,8 JAN 21  (4)  100 (Weeklys)
0.9972,257.5,262.25,8-Jan-21,470,0.05,0.13,-0.0025,8 JAN 21  (4)  100 (Weeklys)
0.9977,252.45,257.25,8-Jan-21,475,0.05,0.14,-0.0026,8 JAN 21  (4)  100 (Weeklys)
0.9971,247.5,252.25,8-Jan-21,480,0.1,0.15,-0.0034,8 JAN 21  (4)  100 (Weeklys)
0.9982,242.75,246.9,8-Jan-21,485,0.1,0.16,-0.0036,8 JAN 21  (4)  100 (Weeklys)
0.9976,237.75,241.95,8-Jan-21,490,0.11,0.16,-0.0037,8 JAN 21  (4)  100 (Weeklys)
0.9963,232.5,237.3,8-Jan-21,495,0.07,0.16,-0.0034,8 JAN 21  (4)  100 (Weeklys)
0.9974,227.8,231.9,8-Jan-21,500,0.15,0.17,-0.0045,8 JAN 21  (4)  100 (Weeklys)
0.9967,222.45,227.3,8-Jan-21,505,0.1,0.18,-0.0041,8 JAN 21  (4)  100 (Weeklys)
0.996,217.8,222,8-Jan-21,510,0.14,0.2,-0.0049,8 JAN 21  (4)  100 (Weeklys)
0.998,212.5,217.15,8-Jan-21,515,0.12,0.22,-0.0051,8 JAN 21  (4)  100 (Weeklys)
0.9958,207.8,212,8-Jan-21,520,0.15,0.21,-0.0054,8 JAN 21  (4)  100 (Weeklys)
0.9951,202.85,207,8-Jan-21,525,0.15,0.24,-0.0059,8 JAN 21  (4)  100 (Weeklys)
0.9943,197.85,202.05,8-Jan-21,530,0.18,0.28,-0.0069,8 JAN 21  (4)  100 (Weeklys)
0.9942,195.05,199.85,8-Jan-21,532.5,0.17,0.28,-0.0069,8 JAN 21  (4)  100 (Weeklys)
0.9987,193.45,196.15,8-Jan-21,535,0.19,0.29,-0.0074,8 JAN 21  (4)  100 (Weeklys)
0.9934,190.05,194.9,8-Jan-21,537.5,0.16,0.31,-0.0073,8 JAN 21  (4)  100 (Weeklys)
0.9969,188.25,191.45,8-Jan-21,540,0.2,0.31,-0.0079,8 JAN 21  (4)  100 (Weeklys)
0.9932,185.1,189.85,8-Jan-21,542.5,0.2,0.33,-0.0083,8 JAN 21  (4)  100 (Weeklys)
0.9925,182.65,187.35,8-Jan-21,545,0.22,0.33,-0.0086,8 JAN 21  (4)  100 (Weeklys)
0.9931,181,183.95,8-Jan-21,547.5,0.22,0.33,-0.0087,8 JAN 21  (4)  100 (Weeklys)
0.9898,179.5,180.7,8-Jan-21,550,0.25,0.36,-0.0096,8 JAN 21  (4)  100 (Weeklys)
0.9897,176.55,178.65,8-Jan-21,552.5,0.25,0.35,-0.0096,8 JAN 21  (4)  100 (Weeklys)
0.9908,173,177.1,8-Jan-21,555,0.3,0.37,-0.0106,8 JAN 21  (4)  100 (Weeklys)
0.9906,171.3,173.8,8-Jan-21,557.5,0.28,0.39,-0.0108,8 JAN 21  (4)  100 (Weeklys)
0.9886,169.5,170.75,8-Jan-21,560,0.33,0.41,-0.0118,8 JAN 21  (4)  100 (Weeklys)
0.9925,165.75,169.2,8-Jan-21,562.5,0.35,0.41,-0.0122,8 JAN 21  (4)  100 (Weeklys)
0.9864,164,166.4,8-Jan-21,565,0.32,0.44,-0.0124,8 JAN 21  (4)  100 (Weeklys)
0.9856,161.6,163.85,8-Jan-21,567.5,0.29,0.45,-0.0123,8 JAN 21  (4)  100 (Weeklys)
0.9842,159.15,161.4,8-Jan-21,570,0.39,0.47,-0.014,8 JAN 21  (4)  100 (Weeklys)
0.9828,157.05,158.6,8-Jan-21,572.5,0.4,0.49,-0.0146,8 JAN 21  (4)  100 (Weeklys)
0.982,154.6,156.1,8-Jan-21,575,0.42,0.51,-0.0153,8 JAN 21  (4)  100 (Weeklys)
0.9841,152.05,153.45,8-Jan-21,577.5,0.42,0.53,-0.0157,8 JAN 21  (4)  100 (Weeklys)
0.9839,149.7,150.8,8-Jan-21,580,0.46,0.55,-0.0167,8 JAN 21  (4)  100 (Weeklys)
0.9806,147.1,148.65,8-Jan-21,582.5,0.47,0.58,-0.0175,8 JAN 21  (4)  100 (Weeklys)
0.9815,144.55,146.1,8-Jan-21,585,0.49,0.6,-0.0183,8 JAN 21  (4)  100 (Weeklys)
0.9781,142.15,143.75,8-Jan-21,587.5,0.52,0.64,-0.0194,8 JAN 21  (4)  100 (Weeklys)
0.9772,139.7,141.25,8-Jan-21,590,0.55,0.66,-0.0204,8 JAN 21  (4)  100 (Weeklys)
0.9757,137.2,138.85,8-Jan-21,592.5,0.58,0.69,-0.0214,8 JAN 21  (4)  100 (Weeklys)
0.9747,134.75,136.35,8-Jan-21,595,0.62,0.73,-0.0228,8 JAN 21  (4)  100 (Weeklys)
0.9725,132.3,133.95,8-Jan-21,597.5,0.65,0.75,-0.0238,8 JAN 21  (4)  100 (Weeklys)
0.9715,129.85,131.45,8-Jan-21,600,0.72,0.78,-0.0254,8 JAN 21  (4)  100 (Weeklys)
0.971,127.35,128.95,8-Jan-21,602.5,0.73,0.84,-0.0267,8 JAN 21  (4)  100 (Weeklys)
0.9693,124.85,126.55,8-Jan-21,605,0.79,0.88,-0.0284,8 JAN 21  (4)  100 (Weeklys)
0.967,122.45,124.1,8-Jan-21,607.5,0.82,0.93,-0.0299,8 JAN 21  (4)  100 (Weeklys)
0.9665,119.95,121.6,8-Jan-21,610,0.87,0.98,-0.0316,8 JAN 21  (4)  100 (Weeklys)
0.9629,117.6,119.2,8-Jan-21,612.5,0.93,1.02,-0.0334,8 JAN 21  (4)  100 (Weeklys)
0.9647,115.15,116.45,8-Jan-21,615,0.98,1.08,-0.0353,8 JAN 21  (4)  100 (Weeklys)
0.9616,112.7,114.1,8-Jan-21,617.5,1.05,1.14,-0.0376,8 JAN 21  (4)  100 (Weeklys)
0.9627,110.2,111.45,8-Jan-21,620,1.15,1.21,-0.0403,8 JAN 21  (4)  100 (Weeklys)
0.9566,107.85,109.25,8-Jan-21,622.5,1.18,1.28,-0.0422,8 JAN 21  (4)  100 (Weeklys)
0.9518,105.45,107,8-Jan-21,625,1.26,1.36,-0.0449,8 JAN 21  (4)  100 (Weeklys)
0.9497,103,104.55,8-Jan-21,627.5,1.34,1.44,-0.0476,8 JAN 21  (4)  100 (Weeklys)
0.9511,100.7,101.65,8-Jan-21,630,1.43,1.53,-0.0507,8 JAN 21  (4)  100 (Weeklys)
0.9478,98.3,99.25,8-Jan-21,632.5,1.53,1.65,-0.0542,8 JAN 21  (4)  100 (Weeklys)
0.9444,95.9,96.85,8-Jan-21,635,1.63,1.73,-0.0573,8 JAN 21  (4)  100 (Weeklys)
0.941,93.5,94.45,8-Jan-21,637.5,1.73,1.85,-0.0609,8 JAN 21  (4)  100 (Weeklys)
0.9375,91.1,92.05,8-Jan-21,640,1.85,1.97,-0.0649,8 JAN 21  (4)  100 (Weeklys)
0.9328,88.75,89.7,8-Jan-21,642.5,1.97,2.1,-0.069,8 JAN 21  (4)  100 (Weeklys)
0.928,86.4,87.35,8-Jan-21,645,2.1,2.23,-0.0732,8 JAN 21  (4)  100 (Weeklys)
0.9238,84.05,84.95,8-Jan-21,647.5,2.24,2.37,-0.0778,8 JAN 21  (4)  100 (Weeklys)
0.9184,81.7,82.65,8-Jan-21,650,2.4,2.5,-0.0826,8 JAN 21  (4)  100 (Weeklys)
0.9129,79.4,80.3,8-Jan-21,652.5,2.55,2.69,-0.088,8 JAN 21  (4)  100 (Weeklys)
0.9078,77.05,77.95,8-Jan-21,655,2.7,2.86,-0.0932,8 JAN 21  (4)  100 (Weeklys)
0.9016,74.75,75.65,8-Jan-21,657.5,2.88,3.05,-0.0991,8 JAN 21  (4)  100 (Weeklys)
0.8953,72.45,73.35,8-Jan-21,660,3.1,3.2,-0.1051,8 JAN 21  (4)  100 (Weeklys)
0.8889,70.15,71.05,8-Jan-21,662.5,3.25,3.45,-0.1115,8 JAN 21  (4)  100 (Weeklys)
0.8819,67.9,68.75,8-Jan-21,665,3.5,3.7,-0.1189,8 JAN 21  (4)  100 (Weeklys)
0.8743,65.65,66.5,8-Jan-21,667.5,3.7,3.95,-0.126,8 JAN 21  (4)  100 (Weeklys)
0.8666,63.4,64.25,8-Jan-21,670,4,4.2,-0.1342,8 JAN 21  (4)  100 (Weeklys)
0.8587,61.15,62,8-Jan-21,672.5,4.25,4.45,-0.142,8 JAN 21  (4)  100 (Weeklys)
0.8498,58.95,59.8,8-Jan-21,675,4.5,4.75,-0.1505,8 JAN 21  (4)  100 (Weeklys)
0.8408,56.75,57.6,8-Jan-21,677.5,4.8,5.05,-0.1596,8 JAN 21  (4)  100 (Weeklys)
0.8315,54.55,55.4,8-Jan-21,680,5.2,5.4,-0.17,8 JAN 21  (4)  100 (Weeklys)
0.8205,52.5,53.25,8-Jan-21,682.5,5.45,5.7,-0.179,8 JAN 21  (4)  100 (Weeklys)
0.8112,50.3,51,8-Jan-21,685,5.85,6.1,-0.1902,8 JAN 21  (4)  100 (Weeklys)
0.7994,48.15,49,8-Jan-21,687.5,6.25,6.5,-0.2016,8 JAN 21  (4)  100 (Weeklys)
0.7871,46.1,46.95,8-Jan-21,690,6.65,6.85,-0.2129,8 JAN 21  (4)  100 (Weeklys)
0.7748,44.05,44.85,8-Jan-21,692.5,7.1,7.35,-0.2257,8 JAN 21  (4)  100 (Weeklys)
0.7614,42.05,42.85,8-Jan-21,695,7.6,7.85,-0.2391,8 JAN 21  (4)  100 (Weeklys)
0.7477,40.1,40.8,8-Jan-21,697.5,8.1,8.35,-0.2528,8 JAN 21  (4)  100 (Weeklys)
0.7329,38.15,38.9,8-Jan-21,700,8.7,8.9,-0.2675,8 JAN 21  (4)  100 (Weeklys)
0.7179,36.25,36.95,8-Jan-21,702.5,9.2,9.5,-0.2823,8 JAN 21  (4)  100 (Weeklys)
0.7021,34.4,35.05,8-Jan-21,705,9.85,10.2,-0.2986,8 JAN 21  (4)  100 (Weeklys)
0.6857,32.55,33.2,8-Jan-21,707.5,10.5,10.85,-0.3149,8 JAN 21  (4)  100 (Weeklys)
0.6682,30.8,31.45,8-Jan-21,710,11.25,11.6,-0.3323,8 JAN 21  (4)  100 (Weeklys)
0.6503,29.1,29.7,8-Jan-21,712.5,11.95,12.35,-0.3498,8 JAN 21  (4)  100 (Weeklys)
0.6318,27.45,28,8-Jan-21,715,12.8,13.15,-0.3683,8 JAN 21  (4)  100 (Weeklys)
0.593,24.3,24.85,8-Jan-21,720,14.6,15,-0.407,8 JAN 21  (4)  100 (Weeklys)
0.5526,21.5,21.9,8-Jan-21,725,16.6,17.05,-0.4473,8 JAN 21  (4)  100 (Weeklys)
0.5111,18.65,19.15,8-Jan-21,730,18.9,19.35,-0.4889,8 JAN 21  (4)  100 (Weeklys)
0.4691,16.3,16.65,8-Jan-21,735,21.4,22,-0.5309,8 JAN 21  (4)  100 (Weeklys)
0.4274,14.05,14.5,8-Jan-21,740,24.25,24.85,-0.5724,8 JAN 21  (4)  100 (Weeklys)
0.3865,12.1,12.5,8-Jan-21,745,27.25,27.85,-0.6133,8 JAN 21  (4)  100 (Weeklys)
0.3478,10.5,10.75,8-Jan-21,750,30.5,31.15,-0.6525,8 JAN 21  (4)  100 (Weeklys)
0.3104,8.9,9.25,8-Jan-21,755,33.95,34.7,-0.6894,8 JAN 21  (4)  100 (Weeklys)
0.2757,7.6,7.9,8-Jan-21,760,37.6,38.4,-0.7241,8 JAN 21  (4)  100 (Weeklys)
0.2443,6.55,6.75,8-Jan-21,765,41.45,42.15,-0.757,8 JAN 21  (4)  100 (Weeklys)
0.2157,5.6,5.8,8-Jan-21,770,45.55,46.25,-0.7848,8 JAN 21  (4)  100 (Weeklys)
0.1888,4.75,4.9,8-Jan-21,775,49.65,50.4,-0.8118,8 JAN 21  (4)  100 (Weeklys)
0.1645,4,4.15,8-Jan-21,780,53.95,54.7,-0.835,8 JAN 21  (4)  100 (Weeklys)
0.1438,3.35,3.6,8-Jan-21,785,58.3,59.1,-0.8564,8 JAN 21  (4)  100 (Weeklys)
0.1269,2.95,3.1,8-Jan-21,790,62.8,63.65,-0.8738,8 JAN 21  (4)  100 (Weeklys)
0.1099,2.5,2.61,8-Jan-21,795,67.3,68.15,-0.8917,8 JAN 21  (4)  100 (Weeklys)
0.0946,2.11,2.18,8-Jan-21,800,71.95,72.75,-0.9061,8 JAN 21  (4)  100 (Weeklys)
0.0721,1.56,1.62,8-Jan-21,810,81.35,82.2,-0.9292,8 JAN 21  (4)  100 (Weeklys)
0.0554,1.17,1.22,8-Jan-21,820,90.95,91.8,-0.9462,8 JAN 21  (4)  100 (Weeklys)
0.0423,0.89,0.9,8-Jan-21,830,100.25,101.9,-0.9594,8 JAN 21  (4)  100 (Weeklys)
0.0326,0.63,0.73,8-Jan-21,840,110.1,111.55,-0.9704,8 JAN 21  (4)  100 (Weeklys)
0.0253,0.5,0.54,8-Jan-21,850,119.85,121.5,-0.9775,8 JAN 21  (4)  100 (Weeklys)
0.0209,0.4,0.47,8-Jan-21,860,129.45,131.55,-0.9855,8 JAN 21  (4)  100 (Weeklys)
0.0167,0.3,0.39,8-Jan-21,870,139.95,141.5,-0.978,8 JAN 21  (4)  100 (Weeklys)
0.0132,0.26,0.28,8-Jan-21,880,149.35,151.55,-0.9888,8 JAN 21  (4)  100 (Weeklys)
0.0118,0.2,0.3,8-Jan-21,890,159.1,162.05,-0.9848,8 JAN 21  (4)  100 (Weeklys)
0.0103,0.21,0.23,8-Jan-21,900,168.8,171.9,-0.9937,8 JAN 21  (4)  100 (Weeklys)
0.0062,0.1,0.16,8-Jan-21,920,187.85,192.7,-0.9974,8 JAN 21  (4)  100 (Weeklys)
0.0051,0.1,0.12,8-Jan-21,940,207.85,212.75,-0.9965,8 JAN 21  (4)  100 (Weeklys)
0.0045,0.09,0.11,8-Jan-21,950,218,222.6,-0.9966,8 JAN 21  (4)  100 (Weeklys)
0.0039,0.07,0.1,8-Jan-21,960,227.95,232.7,-0.9958,8 JAN 21  (4)  100 (Weeklys)
0.0028,0.04,0.08,8-Jan-21,975,242.95,247.7,-0.996,8 JAN 21  (4)  100 (Weeklys)
0.0029,0.06,0.07,8-Jan-21,980,247.95,252.7,-0.996,8 JAN 21  (4)  100 (Weeklys)
0.0022,0.04,0.06,8-Jan-21,1000,267.75,272.6,-1,8 JAN 21  (4)  100 (Weeklys)
0.0019,0.02,0.07,8-Jan-21,1020,287.9,292.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0014,0.02,0.04,8-Jan-21,1025,292.8,297.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0013,0.01,0.05,8-Jan-21,1040,307.9,312.65,-0.9982,8 JAN 21  (4)  100 (Weeklys)
0.0009,0.01,0.03,8-Jan-21,1050,317.75,322.65,-1,8 JAN 21  (4)  100 (Weeklys)
0.0012,0.02,0.04,8-Jan-21,1060,327.75,332.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0009,0.01,0.03,8-Jan-21,1075,342.85,347.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0008,0.01,0.03,8-Jan-21,1080,347.85,352.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0008,0.01,0.03,8-Jan-21,1100,367.85,372.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0008,0.01,0.03,8-Jan-21,1120,387.85,392.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0004,0,0.02,8-Jan-21,1125,392.75,397.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0006,0.01,0.02,8-Jan-21,1140,407.85,412.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0006,0.01,0.02,8-Jan-21,1160,427.85,432.55,-1,8 JAN 21  (4)  100 (Weeklys)
0.0006,0.01,0.02,8-Jan-21,1180,447.85,452.55,-1,8 JAN 21  (4)  100 (Weeklys)
