8 JAN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0005,5.30,14.65,350 / 360,-.01,.02,-.0001,,
,,-.0005,5.35,14.70,360 / 370,-.01,.01,.00,,
,,.0005,5.30,14.65,370 / 380,-.01,.02,-.0001,,
,,.00,5.30,14.70,380 / 390,-.02,.03,-.0001,,
,,.00,5.30,14.70,390 / 400,-.02,.03,-.0001,,
,,-.0007,5.35,14.80,400 / 410,-.03,.02,.0001,,
,,.0002,5.20,14.70,410 / 420,-.03,.03,.00,,
,,.00,5.25,14.75,420 / 430,0,.06,-.0007,,
,,.0027,5.45,14.30,430 / 440,-.02,.02,-.0001,,
,,-.0020,5.95,14.25,440 / 450,0,.03,-.0004,,
,,.0006,.45,9.50,450 / 455,-.04,.03,.0001,,
,,.0039,.40,9.20,455 / 460,-.05,.07,-.0003,,
,,-.0033,.80,9.55,460 / 465,-.09,.07,.0002,,
,,.0006,.20,9.75,465 / 470,-.07,.10,-.0004,,
,,-.0005,.25,9.80,470 / 475,-.08,.09,-.0002,,
,,.0006,.20,9.75,475 / 480,-.04,.10,-.0007,,
,,-.0012,.60,9.50,480 / 485,-.05,.06,-.0002,,
,,.0007,.80,9.15,485 / 490,-.05,.06,-.0002,,
,,.0013,.45,9.45,490 / 495,-.09,.05,.0004,,
,,-.0012,.60,9.50,495 / 500,-.01,.10,-.0011,,
,,.0007,.50,9.45,500 / 505,-.07,.03,.0004,,
,,.0007,.45,9.50,505 / 510,-.04,.10,-.0008,,
,,-.0020,.65,9.50,510 / 515,-.08,.08,-.0001,,
,,.0022,.50,9.35,515 / 520,-.07,.09,-.0004,,
,,.0008,.80,9.15,520 / 525,-.06,.09,-.0005,,
,,.0008,.80,9.15,525 / 530,-.06,.13,-.0010,,
,,.0001,-2.00,7.00,530 / 532.5,-.11,.10,.00,,
,,-.0044,-1.10,6.40,532.5 / 535,-.09,.12,-.0005,,
,,.0052,-1.45,6.10,535 / 537.5,-.13,.12,.00,,
,,-.0035,-1.40,6.65,537.5 / 540,-.11,.15,-.0006,,
,,.0036,-1.60,6.35,540 / 542.5,-.11,.13,-.0003,,
,,.0007,-2.25,7.20,542.5 / 545,-.11,.13,-.0004,,
,,-.0006,-1.30,6.35,545 / 547.5,-.11,.11,-.0001,,
,,.0033,.30,4.45,547.5 / 550,-.08,.14,-.0009,,
,,.0001,.85,4.15,550 / 552.5,-.11,.10,.00,,
,,-.0011,-.55,5.65,552.5 / 555,-.05,.12,-.0010,,
,,.0001,-.80,5.80,555 / 557.5,-.09,.09,-.0001,,
,,.0020,.55,4.30,557.5 / 560,-.06,.13,-.0010,,
,,-.0039,.30,5.00,560 / 562.5,-.06,.08,-.0004,,
,,.0060,-.65,5.20,562.5 / 565,-.09,.09,-.0002,,
,,.0008,.15,4.80,565 / 567.5,-.15,.13,.0001,,
,,.0014,.20,4.70,567.5 / 570,-.06,.18,-.0017,,
,,.0014,.55,4.35,570 / 572.5,-.07,.10,-.0006,,
,,.0008,.95,4.00,572.5 / 575,-.07,.11,-.0007,,
,,-.0022,1.15,4.05,575 / 577.5,-.09,.11,-.0005,,
,,.0002,1.25,3.75,577.5 / 580,-.07,.13,-.0010,,
,,.0033,1.05,3.70,580 / 582.5,-.08,.12,-.0008,,
,,-.0009,1.00,4.10,582.5 / 585,-.09,.13,-.0008,,
,,.0033,.80,3.95,585 / 587.5,-.08,.15,-.0012,,
,,.0009,.90,4.05,587.5 / 590,-.09,.14,-.0009,,
,,.0015,.85,4.05,590 / 592.5,-.08,.14,-.0011,,
,,.0010,.85,4.10,592.5 / 595,-.07,.15,-.0013,,
,,.0022,.80,4.05,595 / 597.5,-.08,.13,-.0010,,
,,.0010,.85,4.10,597.5 / 600,-.03,.13,-.0016,,
,,.0005,.90,4.10,600 / 602.5,-.05,.12,-.0013,,
,,.0017,.80,4.10,602.5 / 605,-.05,.15,-.0017,,
,,.0023,.75,4.10,605 / 607.5,-.06,.14,-.0015,,
,,.0006,.85,4.15,607.5 / 610,-.06,.16,-.0018,,
,,.0035,.75,4.00,610 / 612.5,-.05,.15,-.0018,,
,,-.0017,1.15,4.05,612.5 / 615,-.04,.15,-.0019,,
,,.0030,1.05,3.75,615 / 617.5,-.03,.16,-.0022,,
,,-.0011,1.25,3.90,617.5 / 620,.01,.16,-.0027,,
,,.0061,.95,3.60,620 / 622.5,-.03,.13,-.0019,,
,,.0048,.85,3.80,622.5 / 625,-.02,.18,-.0027,,
,,.0020,.90,4.00,625 / 627.5,-.02,.18,-.0027,,
,,-.0013,1.35,3.85,627.5 / 630,-.01,.19,-.0030,,
,,.0033,1.45,3.35,630 / 632.5,0,.22,-.0035,,
,,.0034,1.45,3.35,632.5 / 635,-.02,.20,-.0031,,
,,.0034,1.45,3.35,635 / 637.5,0,.22,-.0036,,
,,.0035,1.45,3.35,637.5 / 640,0,.24,-.0039,,
,,.0047,1.40,3.30,640 / 642.5,0,.25,-.0041,,
,,.0047,1.40,3.30,642.5 / 645,0,.26,-.0043,,
,,.0043,1.45,3.30,645 / 647.5,.01,.27,-.0046,,
,,.0054,1.40,3.25,647.5 / 650,.03,.26,-.0048,,
,,.0055,1.40,3.25,650 / 652.5,.05,.29,-.0054,,
,,.0051,1.45,3.25,652.5 / 655,.01,.31,-.0053,,
,,.0062,1.40,3.20,655 / 657.5,.02,.35,-.0059,,
,,.0063,1.40,3.20,657.5 / 660,.05,.32,-.0060,,
,,.0064,1.40,3.20,660 / 662.5,.05,.35,-.0064,,
,,.0070,1.40,3.15,662.5 / 665,.05,.45,-.0075,,
,,.0076,1.40,3.10,665 / 667.5,0,.45,-.0071,,
,,.0077,1.40,3.10,667.5 / 670,.05,.50,-.0082,,
,,.0079,1.40,3.10,670 / 672.5,.05,.45,-.0079,,
,,.0089,1.35,3.05,672.5 / 675,.05,.50,-.0085,,
,,.0091,1.35,3.05,675 / 677.5,.05,.55,-.0091,,
,,.0093,1.35,3.05,677.5 / 680,.15,.60,-.0104,,
,,.0110,1.30,2.90,680 / 682.5,.05,.50,-.0091,,
,,.0093,1.50,2.95,682.5 / 685,.15,.65,-.0112,,
,,.0118,1.30,2.85,685 / 687.5,.15,.65,-.0114,,
,,.0123,1.20,2.90,687.5 / 690,.15,.60,-.0113,,
,,.0122,1.25,2.90,690 / 692.5,.25,.70,-.0129,,
,,.0134,1.20,2.80,692.5 / 695,.25,.75,-.0134,,
,,.0137,1.25,2.75,695 / 697.5,.25,.75,-.0136,,
,,.0148,1.20,2.65,697.5 / 700,.35,.80,-.0148,,
,,.0151,1.20,2.65,700 / 702.5,.30,.80,-.0148,,
,,.0158,1.20,2.55,702.5 / 705,.35,1.00,-.0163,,
,,.0164,1.20,2.50,705 / 707.5,.30,1.00,-.0163,,
,,.0175,1.10,2.40,707.5 / 710,.40,1.10,-.0174,,
,,.0179,1.10,2.35,710 / 712.5,.35,1.10,-.0175,,
,,.0185,1.10,2.25,712.5 / 715,.45,1.20,-.0185,,
,,.0388,2.60,3.70,715 / 720,1.45,2.20,-.0386,,
,,.0405,2.40,3.35,720 / 725,1.60,2.45,-.0403,,
,,.0414,2.35,3.25,725 / 730,1.85,2.75,-.0416,,
,,.0420,2.00,2.85,730 / 735,2.05,3.10,-.0420,,
,,.0417,1.80,2.60,735 / 740,2.25,3.45,-.0415,,
,,.0409,1.55,2.40,740 / 745,2.40,3.60,-.0410,,
,,.0387,1.35,2.00,745 / 750,2.65,3.90,-.0391,,
,,.0374,1.25,1.85,750 / 755,2.80,4.20,-.0369,,
,,.0347,1.00,1.65,755 / 760,2.90,4.45,-.0347,,
,,.0314,.85,1.35,760 / 765,3.05,4.55,-.0329,,
,,.0286,.75,1.15,765 / 770,3.40,4.80,-.0278,,
,,.0269,.70,1.05,770 / 775,3.40,4.85,-.0270,,
,,.0243,.60,.90,775 / 780,3.55,5.05,-.0233,,
,,.0208,.40,.80,780 / 785,3.60,5.15,-.0213,,
,,.0169,.25,.65,785 / 790,3.70,5.35,-.0175,,
,,.0170,.34,.60,790 / 795,3.65,5.35,-.0178,,
,,.0153,.32,.50,795 / 800,3.80,5.45,-.0144,,
,,.0225,.49,.62,800 / 810,8.60,10.25,-.0231,,
,,.0168,.34,.45,810 / 820,8.75,10.45,-.0170,,
,,.0131,.27,.33,820 / 830,8.45,10.95,-.0131,,
,,.0097,.16,.27,830 / 840,8.20,11.30,-.0110,,
,,.0074,.09,.23,840 / 850,8.30,11.40,-.0071,,
,,.0043,.03,.14,850 / 860,7.95,11.70,-.0080,,
,,.0043,.01,.17,860 / 870,8.40,12.05,.0075,,
,,.0035,.02,.13,870 / 880,7.85,11.60,-.0108,,
,,.0013,-.04,.08,880 / 890,7.55,12.70,.0040,,
,,.0016,-.03,.09,890 / 900,6.75,12.80,-.0089,,
,,.0040,.05,.13,900 / 920,15.95,23.90,-.0037,,
,,.0012,-.02,.06,920 / 940,15.15,24.90,.0009,,
,,.0005,-.01,.03,940 / 950,5.25,14.75,-.0001,,
,,.0007,-.01,.04,950 / 960,5.35,14.70,.0008,,
,,.0011,-.01,.06,960 / 975,10.25,19.75,-.0002,,
,,-.0001,-.03,.02,975 / 980,.25,9.75,-.0001,,
,,.0007,0,.03,980 / 1000,15.05,24.65,-.0040,,
,,.0003,-.03,.04,1000 / 1020,15.30,24.80,.00,,
,,.0006,-.02,.05,1020 / 1025,.25,9.65,.00,,
,,.0001,-.03,.03,1025 / 1040,10.35,19.85,.0018,,
,,.0004,-.02,.04,1040 / 1050,5.10,14.75,-.0018,,
,,-.0004,-.03,.01,1050 / 1060,5.10,14.80,.00,,
,,.0004,-.01,.03,1060 / 1075,10.30,19.80,.00,,
,,.00,-.02,.02,1075 / 1080,.30,9.70,.00,,
,,.00,-.02,.02,1080 / 1100,15.30,24.70,.00,,
,,.00,-.02,.02,1100 / 1120,15.30,24.70,.00,,
,,.0004,-.01,.03,1120 / 1125,.20,9.70,.00,,
,,-.0002,-.02,.01,1125 / 1140,10.30,19.80,.00,,
,,.00,-.01,.01,1140 / 1160,15.30,24.70,.00,,
,,.00,-.01,.01,1160 / 1180,15.30,24.70,.00,,
,,.0004,0,.02,1180 / 1200,15.30,24.70,.00,,
,,.00,-.01,.01,1200 / 1220,15.20,24.70,.00,,
,,.00,-.01,.01,1220 / 1240,15.30,24.80,.00,,
,,.00,-.01,.01,1240 / 1260,15.30,24.70,.00,,

15 JAN 21  (11)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-3.80,5.80,1 / 2,-.01,.01,.00,,
,,.00,-3.80,5.80,2 / 3,-.01,.01,.00,,
,,.00,-3.80,5.80,3 / 4,-.01,.01,.00,,
,,.00,-3.80,5.80,4 / 5,-.01,.01,.00,,
,,-.0001,-2.20,4.30,5 / 6,-.01,.01,.00,,
,,.00,-.70,2.70,6 / 7,-.01,.01,.00,,
,,.0001,-2.30,4.20,7 / 8,-.01,.01,.00,,
,,.00,-3.80,5.80,8 / 9,-.01,.01,.00,,
,,.00,-3.80,5.80,9 / 10,-.01,.01,.00,,
,,.00,-3.80,5.80,10 / 11,-.01,.01,.00,,
,,-.0001,-2.20,4.30,11 / 12,-.01,.01,.00,,
,,.00,-.70,2.70,12 / 13,-.01,.01,.00,,
,,.0001,-2.30,4.20,13 / 14,-.01,.01,.00,,
,,-.0001,-2.20,4.30,14 / 15,-.01,.01,.00,,
,,.0001,-2.30,4.20,15 / 16,-.01,.01,.00,,
,,-.0001,-2.20,4.30,16 / 17,-.01,.01,.00,,
,,.00,-.70,2.70,17 / 18,-.01,.01,.00,,
,,.0001,-2.30,4.20,18 / 19,-.01,.01,.00,,
,,.00,-3.80,5.80,19 / 20,-.01,.01,.00,,
,,-.0001,-2.20,4.30,20 / 21,-.01,.01,.00,,
,,.00,-.70,2.70,21 / 22,-.01,.01,.00,,
,,.00,-.70,2.70,22 / 23,-.01,.01,.00,,
,,.0001,-2.30,4.20,23 / 24,-.01,.01,.00,,
,,.00,-3.80,5.80,24 / 25,-.01,.01,.00,,
,,.00,-3.80,5.80,25 / 26,-.01,.01,.00,,
,,-.0001,-2.20,4.30,26 / 27,-.01,.01,.00,,
,,.0002,-2.30,4.20,27 / 28,-.01,.01,.00,,
,,-.0002,-2.20,4.30,28 / 29,-.01,.01,.00,,
,,.00,-.70,2.70,29 / 30,-.01,.01,.00,,
,,.00,-.70,2.70,30 / 31,-.01,.01,.00,,
,,.00,-.70,2.70,31 / 32,-.01,.01,.00,,
,,.00,-.70,2.70,32 / 33,-.01,.01,.00,,
,,.00,-.70,2.70,33 / 34,-.01,.01,.00,,
,,.00,-.70,2.70,34 / 35,-.01,.01,.00,,
,,.00,-.70,2.70,35 / 36,-.01,.01,.00,,
,,.00,-.70,2.70,36 / 37,-.01,.01,.00,,
,,.00,-.70,2.70,37 / 38,-.01,.01,.00,,
,,.00,-.70,2.70,38 / 39,-.01,.01,.00,,
,,.00,-.70,2.70,39 / 40,-.01,.01,.00,,
,,.00,.30,3.70,40 / 42,-.01,.01,.00,,
,,.00,.30,3.70,42 / 44,-.01,.01,.00,,
,,.00,.30,3.70,44 / 46,-.01,.01,.00,,
,,.00,.30,3.70,46 / 48,-.01,.01,.00,,
,,.00,-.70,2.70,48 / 49,-.01,.01,.00,,
,,.00,-.70,2.70,49 / 50,-.01,.01,.00,,
,,.00,-.70,2.70,50 / 51,-.01,.01,.00,,
,,.00,-.70,2.70,51 / 52,-.01,.01,.00,,
,,.00,-.70,2.70,52 / 53,-.01,.01,.00,,
,,.00,-.70,2.70,53 / 54,-.01,.01,.00,,
,,.00,-.70,2.70,54 / 55,-.01,.01,.00,,
,,.00,-.70,2.70,55 / 56,-.01,.01,.00,,
,,.00,-.70,2.70,56 / 57,-.01,.01,.00,,
,,.0002,-2.30,4.20,57 / 58,-.01,.01,.00,,
,,-.0002,-2.20,4.30,58 / 59,-.01,.01,.00,,
,,.00,-.70,2.70,59 / 60,-.01,.01,.00,,
,,.00,-.70,2.70,60 / 61,-.01,.01,.00,,
,,.00,-.70,2.70,61 / 62,-.01,.01,.00,,
,,.00,-.70,2.70,62 / 63,-.01,.01,.00,,
,,.00,-.70,2.70,63 / 64,-.01,.01,.00,,
,,.00,-.70,2.70,64 / 65,-.01,.01,.00,,
,,.0002,-2.30,4.20,65 / 66,-.01,.01,.00,,
,,-.0002,-2.20,4.30,66 / 67,-.01,.01,.00,,
,,.00,-.70,2.70,67 / 68,-.01,.01,.00,,
,,.00,.30,3.70,68 / 70,-.01,.01,.00,,
,,.00,.30,3.70,70 / 72,-.01,.01,.00,,
,,.00,.30,3.70,72 / 74,-.01,.01,.00,,
