This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 2/2/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
839.81,+46.28,"25,391,385",814.29,842.00,795.5601

5 FEB 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,-.0032,48.30,51.50,200 / 250,-.01,.01,.00,,
,,-.0089,48.50,51.60,250 / 300,0,.02,-.0002,,
,,-.0112,48.40,51.60,300 / 350,-.01,.02,-.0001,,
,,-.0023,8.30,11.70,350 / 360,-.03,.04,-.0001,,
,,-.0024,8.30,11.70,360 / 370,-.04,.04,.00,,
,,-.0023,8.35,11.60,370 / 380,-.02,.02,.00,,
,,-.0023,8.40,11.50,380 / 390,-.01,.01,.00,,
,,-.0025,8.55,11.80,390 / 400,-.01,.01,.00,,
,,-.0022,8.30,11.45,400 / 410,-.02,.05,-.0003,,
,,-.0023,8.45,11.40,410 / 420,-.04,.04,.00,,
,,-.0023,8.50,11.55,420 / 430,-.04,.04,.00,,
,,-.0023,8.55,11.45,430 / 440,-.05,.05,.00,,
,,-.1105,8.60,11.95,440 / 450,-.02,.06,-.0004,,
,,.1059,8.00,11.65,450 / 460,-.07,.03,.0003,,
,,-.0024,8.30,12.00,460 / 470,-.02,.07,-.0005,,
,,-.0010,2.90,7.00,470 / 475,-.03,.09,-.0005,,
,,-.0011,2.90,7.05,475 / 480,-.09,.10,-.0001,,
,,-.0018,7.95,11.55,480 / 490,-.09,.04,.0004,,
,,-.0021,8.40,11.65,490 / 500,0,.04,-.0004,,
,,-.0020,8.30,11.55,500 / 510,0,.06,-.0006,,
,,-.0020,8.50,11.50,510 / 520,-.05,.10,-.0005,,
,,-.0010,3.50,6.50,520 / 525,-.09,.11,-.0002,,
,,-.0012,3.35,6.95,525 / 530,-.09,.11,-.0002,,
,,-.0038,17.85,22.05,530 / 550,-.02,.13,-.0012,,
,,-.0047,22.95,27.05,550 / 575,0,.16,-.0019,,
,,-.0004,2.85,6.60,575 / 580,-.12,.12,-.0001,,
,,-.0012,3.25,7.10,580 / 585,-.14,.14,-.0001,,
,,-.0006,3.00,6.70,585 / 590,-.11,.17,-.0007,,
,,-.0012,3.30,7.00,590 / 595,-.08,.14,-.0007,,
,,-.0005,2.90,6.75,595 / 600,-.08,.02,.0004,,
,,-.0008,3.30,6.65,600 / 605,-.07,.12,-.0006,,
,,-.0012,3.30,7.00,605 / 610,-.11,.19,-.0009,,
,,-.0004,2.90,6.80,610 / 615,-.10,.14,-.0006,,
,,-.0007,3.30,6.65,615 / 620,-.15,.12,.0001,,
,,-.0010,.95,4.50,620 / 622.5,-.11,.18,-.0008,,
,,-.0004,.50,4.50,622.5 / 625,-.11,.16,-.0006,,
,,-.0004,.50,4.50,625 / 627.5,-.12,.14,-.0003,,
,,.0002,.45,4.15,627.5 / 630,-.12,.14,-.0003,,
,,-.0010,.85,4.55,630 / 632.5,-.14,.13,.00,,
,,-.0004,.50,4.50,632.5 / 635,-.12,.14,-.0003,,
,,-.0003,.40,4.50,635 / 637.5,-.10,.14,-.0005,,
,,.0002,.40,4.25,637.5 / 640,-.04,.14,-.0011,,
,,-.0009,.80,4.55,640 / 642.5,-.11,.06,.0003,,
,,.0001,.50,4.20,642.5 / 645,-.10,.15,-.0007,,
,,-.0008,.75,4.50,645 / 647.5,-.14,.14,-.0002,,
,,.0009,.40,3.90,647.5 / 650,-.11,.16,-.0007,,
,,-.0015,1.05,4.55,650 / 652.5,-.12,.13,-.0003,,
,,.0006,.50,4.00,652.5 / 655,-.10,.15,-.0007,,
,,-.0014,1.05,4.50,655 / 657.5,-.13,.13,-.0002,,
,,.0012,.40,3.85,657.5 / 660,-.05,.15,-.0012,,
,,-.0015,1.00,4.55,660 / 662.5,-.09,.10,-.0003,,
,,.0011,.40,3.95,662.5 / 665,-.12,.12,-.0002,,
,,-.0019,1.15,4.55,665 / 667.5,-.10,.13,-.0005,,
,,.0002,.40,4.35,667.5 / 670,-.11,.13,-.0005,,
,,.0003,.50,4.25,670 / 672.5,-.05,.15,-.0013,,
,,-.0004,.80,4.25,672.5 / 675,-.10,.09,-.0002,,
,,.0001,.70,4.15,675 / 677.5,-.10,.14,-.0007,,
,,-.0012,.80,4.55,677.5 / 680,-.10,.17,-.0010,,
,,-.0002,.50,4.45,680 / 682.5,-.12,.15,-.0006,,
,,.0003,.40,4.40,682.5 / 685,-.07,.20,-.0017,,
,,.0011,.55,4.00,685 / 687.5,-.15,.10,.0002,,
,,-.0015,.95,4.45,687.5 / 690,-.07,.19,-.0016,,
,,.0001,.35,4.55,690 / 692.5,-.14,.16,-.0006,,
,,-.0002,.50,4.50,692.5 / 695,-.11,.14,-.0007,,
,,.0001,.55,4.35,695 / 697.5,-.08,.17,-.0014,,
,,.00,.55,4.40,697.5 / 700,-.04,.13,-.0014,,
,,.0014,.45,4.15,700 / 702.5,-.07,.12,-.0010,,
,,.0003,.80,4.10,702.5 / 705,-.12,.19,-.0012,,
,,-.0016,.90,4.45,705 / 707.5,-.11,.20,-.0015,,
,,.0005,.45,4.40,707.5 / 710,-.11,.20,-.0015,,
,,-.0001,.55,4.45,710 / 712.5,-.11,.19,-.0014,,
,,.0009,.40,4.40,712.5 / 715,-.08,.19,-.0018,,
,,.0005,2.95,6.95,715 / 720,-.03,.20,-.0031,,
