This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 3/2/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
718.43,+42.93,"27,136,239",690.11,872.00,685.05

5 MAR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,45.30,54.70,50 / 100,-.01,.01,.00,,
,,.1524,45.30,54.65,100 / 150,-.01,.01,.00,,
,,.0009,45.35,54.70,150 / 200,-.01,.01,.00,,
,,-.0092,45.30,54.65,200 / 250,0,.02,-.0002,,
,,-.0129,45.35,54.65,250 / 300,0,.02,-.0002,,
,,-.0138,45.35,54.65,300 / 350,-.01,.02,-.0002,,
,,-.0027,5.35,14.65,350 / 360,-.02,.03,-.0001,,
,,-.0027,5.30,14.65,360 / 370,-.02,.03,-.0001,,
,,-.0027,5.30,14.70,370 / 380,-.01,.02,-.0001,,
,,-.0026,5.30,14.70,380 / 390,-.01,.03,-.0002,,
,,-.0026,5.30,14.70,390 / 400,-.01,.04,-.0003,,
,,-.0026,5.30,14.70,400 / 410,-.03,.02,.00,,
,,-.0025,5.30,14.70,410 / 420,-.03,.09,-.0007,,
,,-.0024,5.30,14.65,420 / 430,-.11,.14,-.0004,,
,,-.0024,5.35,14.65,430 / 440,-.06,.18,-.0012,,
,,-.0023,5.30,14.65,440 / 450,-.07,.09,-.0004,,
,,-.0023,5.30,14.70,450 / 460,-.07,.10,-.0005,,
,,-.0022,5.30,14.65,460 / 470,-.05,.10,-.0007,,
,,-.0022,5.30,14.65,470 / 480,-.05,.07,-.0004,,
,,-.0023,5.45,14.65,480 / 490,-.02,.10,-.0011,,
,,-.0012,5.30,13.95,490 / 500,.02,.15,-.0020,,
,,-.0022,5.95,14.15,500 / 510,-.09,.15,-.0010,,
,,-.0795,7.20,14.05,510 / 520,-.09,.18,-.0014,,
,,.00,7.20,12.80,520 / 530,.03,.22,-.0031,,
,,.0735,7.30,11.60,530 / 540,-.01,.16,-.0023,,
,,-.0014,8.40,11.40,540 / 550,-.02,.18,-.0026,,
,,-.0014,8.40,11.45,550 / 560,-.02,.22,-.0032,,
,,-.0008,8.30,11.40,560 / 570,.05,.24,-.0044,,
,,-.0006,8.30,11.45,570 / 580,.01,.19,-.0038,,
,,.0001,8.25,11.45,580 / 590,0,.27,-.0049,,
,,.0005,3.30,6.50,590 / 595,-.10,.46,-.0050,,
,,.0007,3.30,6.50,595 / 600,-.19,.43,-.0039,,
,,.0010,3.30,6.50,600 / 605,-.23,.38,-.0031,,
,,.0013,3.30,6.50,605 / 610,-.27,.31,-.0021,,
,,.0019,3.30,6.45,610 / 615,-.07,.49,-.0063,,
,,.0027,3.30,6.40,615 / 620,-.11,.34,-.0046,,
,,.0027,3.35,6.40,620 / 625,.05,.25,-.0055,,
,,.0040,3.30,6.35,625 / 630,.01,.43,-.0073,,
,,.0050,3.30,6.30,630 / 635,-.12,.49,-.0069,,
,,.0065,3.30,6.20,635 / 640,-.06,.49,-.0079,,
,,.0073,3.30,6.20,640 / 645,.03,.49,-.0093,,
,,.0103,3.20,6.05,645 / 650,.15,.57,-.0117,,
,,.0107,3.25,6.05,650 / 655,.15,.55,-.0121,,
,,.0134,3.15,5.95,655 / 660,.30,.70,-.0155,,
,,.0161,3.05,5.85,660 / 665,.25,.75,-.0162,,
,,.0183,3.00,5.75,665 / 670,.35,.90,-.0191,,
,,.0209,2.90,5.65,670 / 675,.45,1.05,-.0218,,
,,.0245,2.75,5.45,675 / 680,.50,1.25,-.0244,,
,,.0262,2.75,5.35,680 / 685,.60,1.30,-.0264,,
,,.0307,2.55,4.95,685 / 690,.80,1.55,-.0300,,
,,.0317,2.60,4.90,690 / 695,.90,1.80,-.0326,,
,,.0357,2.35,4.45,695 / 700,1.05,1.90,-.0346,,
,,.0180,.75,2.70,700 / 702.5,.40,1.25,-.0183,,
,,.0199,.55,2.30,702.5 / 705,.45,1.35,-.0190,,
,,.0187,.85,2.55,705 / 707.5,.50,1.40,-.0194,,
,,.0198,.55,2.45,707.5 / 710,.50,1.45,-.0197,,
,,.0204,.55,2.10,710 / 712.5,.60,1.60,-.0202,,
,,.0203,.75,2.05,712.5 / 715,.55,1.75,-.0204,,
,,.0205,.75,1.90,715 / 717.5,.55,1.70,-.0205,,
,,.0209,.85,2.00,717.5 / 720,.65,1.75,-.0207,,
,,.0207,.50,1.85,720 / 722.5,.70,1.95,-.0206,,
,,.0207,.40,1.85,722.5 / 725,.70,1.95,-.0207,,
,,.0207,.40,1.80,725 / 727.5,.65,2.05,-.0208,,
,,.0208,.60,1.60,727.5 / 730,.75,2.20,-.0204,,
,,.0197,.45,1.35,730 / 732.5,.85,2.30,-.0198,,
,,.0202,.40,1.55,732.5 / 735,.75,2.30,-.0202,,
,,.0193,.30,1.40,735 / 737.5,.85,2.35,-.0197,,
,,.0194,.35,1.35,737.5 / 740,.95,2.50,-.0186,,
,,.0186,.30,1.25,740 / 742.5,.75,2.50,-.0196,,
,,.0184,.30,1.20,742.5 / 745,.80,2.65,-.0187,,
,,.0175,.20,1.15,745 / 747.5,.85,2.80,-.0175,,
,,.0168,.30,.95,747.5 / 750,.90,2.85,-.0169,,
,,.0309,.70,1.45,750 / 755,2.80,5.15,-.0301,,
,,.0309,.65,1.50,755 / 760,2.55,5.25,-.0313,,
,,.0283,.65,1.20,760 / 765,2.85,5.60,-.0252,,
,,.0236,.40,1.00,765 / 770,2.80,5.75,-.0239,,
,,.0205,.35,.80,770 / 775,2.90,5.90,-.0209,,
,,.0190,.41,.63,775 / 780,3.00,6.00,-.0183,,
,,.0167,.31,.57,780 / 785,3.10,6.10,-.0154,,
,,.0063,-.06,.36,785 / 787.5,.85,3.80,-.0069,,
,,.0061,-.04,.33,787.5 / 790,.85,3.80,-.0069,,
,,.0066,-.02,.35,790 / 792.5,.90,3.85,-.0054,,
,,.0061,-.05,.35,792.5 / 795,.90,3.80,-.0060,,
,,.0036,-.17,.31,795 / 797.5,.95,3.85,-.0045,,
,,.0061,-.01,.31,797.5 / 800,.95,3.85,-.0044,,
,,.0039,-.01,.18,800 / 802.5,.95,3.85,-.0043,,
,,.0040,-.08,.26,802.5 / 805,.95,3.85,-.0043,,
,,.0014,-.16,.19,805 / 807.5,.95,3.85,-.0042,,
,,.0056,0,.28,807.5 / 810,1.00,3.90,-.0026,,
,,.0022,-.07,.15,810 / 812.5,1.00,3.85,-.0033,,
,,.0055,-.06,.33,812.5 / 815,1.00,3.85,-.0033,,
,,.0001,-.21,.18,815 / 817.5,1.00,3.90,-.0024,,
,,.0035,-.07,.23,817.5 / 820,1.00,3.90,-.0024,,
,,.0037,-.13,.30,820 / 822.5,1.00,3.90,-.0023,,
,,.0001,-.21,.19,822.5 / 825,1.05,3.90,-.0014,,
,,.0027,-.10,.22,825 / 827.5,1.05,3.90,-.0014,,
,,.0023,-.06,.16,827.5 / 830,1.00,3.90,-.0022,,
,,.0010,-.09,.12,830 / 832.5,1.00,3.90,-.0022,,
,,.0034,-.14,.30,832.5 / 835,1.05,3.95,-.0004,,
,,.0023,-.20,.30,835 / 837.5,1.00,3.90,-.0021,,
