This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,44.60,55.40,50 / 100,-.01,.01,.00,,
,,.00,44.55,55.35,100 / 150,-.01,.01,.00,,
,,.00,44.60,55.40,150 / 200,-.01,.01,.00,,
,,.00,44.60,55.40,200 / 250,-.01,.01,.00,,
,,.00,44.60,55.40,250 / 300,0,.02,-.0002,,
,,.00,44.60,55.40,300 / 350,-.01,.01,-.0001,,
,,.1132,.35,15.40,350 / 360,-.01,.01,.00,,
,,-.0024,.10,19.65,360 / 370,-.01,.03,-.0002,,
,,-.0026,.10,19.90,370 / 380,-.02,.03,-.0001,,
,,-.0045,2.30,19.90,380 / 390,-.03,.03,.00,,
,,-.1037,4.60,17.70,390 / 400,-.03,.02,.0001,,
,,.00,4.60,15.40,400 / 410,0,.03,-.0004,,
,,.00,4.60,15.40,410 / 420,-.02,.03,-.0002,,
,,.00,4.60,15.25,420 / 430,-.04,.02,.0002,,
,,.00,4.75,15.40,430 / 440,-.03,.21,-.0022,,
,,.0877,4.60,14.25,440 / 450,-.19,.03,.0018,,
,,-.0877,5.75,15.30,450 / 460,.03,.05,-.0012,,
,,.00,4.70,15.30,460 / 470,0,.03,-.0005,,
,,.00,4.65,15.25,470 / 480,.01,.05,-.0009,,
,,.00,4.70,15.40,480 / 490,-.04,.05,-.0003,,
,,.00,4.55,15.25,490 / 500,-.02,.09,-.0012,,
,,.00,4.70,15.35,500 / 510,0,.18,-.0027,,
,,.00,4.60,15.20,510 / 520,-.28,.08,.0023,,
,,.00,4.70,15.25,520 / 530,-.02,.53,-.0074,,
,,.0690,6.15,12.95,530 / 540,-.36,.13,.0023,,
,,-.0014,8.40,11.45,540 / 550,-.05,.16,-.0024,,
,,-.0011,8.35,11.45,550 / 560,.02,.14,-.0033,,
,,-.0001,8.30,11.35,560 / 570,.03,.15,-.0039,,
,,-.0010,3.45,6.65,570 / 575,-.07,.14,-.0018,,
,,.0007,3.20,6.55,575 / 580,-.08,.64,-.0088,,
,,.0010,3.25,6.50,580 / 585,-.45,.23,.0019,,
,,.0011,3.30,6.50,585 / 590,-.04,.19,-.0034,,
,,.0011,3.30,6.55,590 / 595,-.06,.47,-.0073,,
,,-.0006,3.55,6.55,595 / 600,-.16,.33,-.0041,,
,,.0054,3.20,6.20,600 / 605,-.09,.30,-.0049,,
,,.0042,3.20,6.45,605 / 610,-.15,.51,-.0073,,
,,.0064,3.20,6.30,610 / 615,.07,.51,-.0105,,
,,.0032,3.35,6.55,615 / 620,.18,.49,-.0119,,
,,.0065,.60,3.90,620 / 622.5,-.30,.71,-.0070,,
,,.0047,.75,3.95,622.5 / 625,-.64,.74,-.0034,,
,,.0075,.70,3.75,625 / 627.5,-.41,.99,-.0092,,
,,.0063,.85,3.75,627.5 / 630,-.37,1.06,-.0104,,
,,.0035,.90,4.00,630 / 632.5,-.63,.56,-.0022,,
,,.0078,.60,3.90,632.5 / 635,-.34,1.08,-.0112,,
,,.0081,.60,3.90,635 / 637.5,-.55,1.09,-.0091,,
,,.0094,.55,3.85,637.5 / 640,-.40,.80,-.0079,,
,,.0124,.45,3.65,640 / 642.5,.05,1.05,-.0148,,
,,.0103,.65,3.70,642.5 / 645,-.55,.80,-.0070,,
,,.0114,.60,3.65,645 / 647.5,-.40,1.00,-.0105,,
