This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 5/4/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
684.90,-24.54,"27,043,143",703.80,706.00,680.50

7 MAY 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,41.50,58.50,100 / 150,-.01,.01,.00,,
,,.00,41.50,58.50,150 / 200,-.01,.01,.00,,
,,.00,41.50,58.50,200 / 250,-.01,.01,.00,,
,,.00,41.50,58.50,250 / 300,0,.02,-.0002,,
,,.00,41.50,58.50,300 / 350,-.01,.01,-.0001,,
,,.00,41.50,58.50,350 / 400,0,.02,-.0004,,
,,.00,1.50,18.50,400 / 410,0,.02,-.0003,,
,,.00,1.50,18.50,410 / 420,-.03,.02,.0001,,
,,.00,1.50,18.50,420 / 430,-.02,.04,-.0003,,
,,.0009,1.50,18.45,430 / 440,-.01,.02,-.0002,,
,,.00,1.55,18.45,440 / 450,0,.03,-.0005,,
,,.0008,1.50,18.45,450 / 460,-.03,.04,-.0002,,
,,.0008,1.50,18.45,460 / 470,-.05,.06,-.0003,,
,,.0001,1.55,18.45,470 / 480,-.05,.09,-.0007,,
,,.0016,1.50,18.40,480 / 490,-.05,.10,-.0009,,
,,.0010,1.55,18.40,490 / 500,.01,.09,-.0017,,
,,.0017,1.55,18.35,500 / 510,-.03,.08,-.0010,,
,,.0018,1.55,18.35,510 / 520,-.06,.13,-.0014,,
,,.0020,1.55,18.35,520 / 530,.03,.15,-.0031,,
,,-.0108,2.55,18.30,530 / 540,-.01,.09,-.0019,,
,,.0167,1.60,17.25,540 / 550,.06,.14,-.0038,,
,,-.0167,-1.40,13.25,550 / 555,-.02,.08,-.0014,,
,,.0179,-1.15,9.30,555 / 560,-.03,.16,-.0025,,
,,.0051,-1.30,11.00,560 / 565,-.04,.15,-.0023,,
,,.0023,-3.25,13.15,565 / 570,0,.16,-.0031,,
,,.0038,-3.30,13.10,570 / 575,-.02,.14,-.0027,,
,,-.0290,-1.10,13.10,575 / 580,.01,.18,-.0038,,
,,.0251,-2.50,10.90,580 / 585,0,.18,-.0039,,
,,.0156,-3.20,12.25,585 / 590,.01,.17,-.0041,,
,,.0053,-3.15,12.90,590 / 595,.06,.25,-.0061,,
,,.0062,-3.10,12.80,595 / 600,.01,.25,-.0057,,
,,.0223,-3.00,11.40,600 / 605,.04,.42,-.0086,,
,,-.0095,-.30,11.35,605 / 610,-.09,.31,-.0059,,
,,.0033,-1.10,11.10,610 / 615,.08,.34,-.0090,,
,,.0160,-1.55,10.65,615 / 620,.08,.38,-.0100,,
,,.0074,-3.95,8.55,620 / 622.5,-.06,.31,-.0055,,
