This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 6/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
605.13,+6.08,"22,543,682",591.825,610.00,582.88

11 JUN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,47.70,52.20,50 / 100,-.01,.01,.00,,
,,.00,47.80,52.30,100 / 150,-.01,.01,.00,,
,,.00,48.95,51.05,150 / 200,-.01,.01,.00,,
,,.00,48.90,51.05,200 / 250,-.01,.01,.00,,
,,.00,48.90,51.10,250 / 300,0,.02,-.0003,,
,,.00,8.90,11.10,300 / 310,0,.02,-.0003,,
,,.00,8.90,11.10,310 / 320,-.02,.01,.0001,,
,,.00,8.90,11.05,320 / 330,-.02,.02,.00,,
,,.00,8.95,11.05,330 / 340,-.01,.03,-.0003,,
,,.00,8.95,11.05,340 / 350,0,.03,-.0004,,
,,.0969,8.90,11.05,350 / 360,-.02,.01,.0001,,
,,-.0029,8.90,11.10,360 / 370,-.01,.03,-.0003,,
,,-.0028,8.90,11.10,370 / 380,-.01,.03,-.0004,,
,,-.0027,8.85,11.05,380 / 390,.01,.05,-.0009,,
,,-.0026,8.85,11.10,390 / 400,-.02,.01,.00,,
,,-.0026,8.85,11.10,400 / 410,.03,.08,-.0017,,
,,-.0025,8.85,11.10,410 / 420,-.02,.07,-.0009,,
,,-.0023,8.75,11.10,420 / 430,-.02,.09,-.0013,,
,,-.0023,8.75,11.15,430 / 440,-.02,.10,-.0015,,
,,-.0021,8.75,11.15,440 / 450,-.02,.07,-.0012,,
,,-.0009,3.75,6.15,450 / 455,0,.10,-.0017,,
,,-.0010,3.75,6.20,455 / 460,-.05,.10,-.0011,,
,,-.0009,3.75,6.20,460 / 465,-.06,.11,-.0011,,
,,-.0009,3.75,6.20,465 / 470,-.06,.10,-.0010,,
,,-.0009,3.75,6.20,470 / 475,-.05,.11,-.0014,,
,,-.0008,3.75,6.20,475 / 480,-.04,.11,-.0016,,
,,-.0008,3.75,6.20,480 / 485,-.03,.14,-.0023,,
,,-.0007,3.75,6.20,485 / 490,-.06,.13,-.0018,,
,,-.0004,3.70,6.20,490 / 495,-.05,.14,-.0022,,
,,-.0007,3.75,6.25,495 / 500,-.03,.13,-.0025,,
,,.0004,3.70,6.10,500 / 505,-.02,.12,-.0027,,
,,.0008,3.75,6.05,505 / 510,.02,.17,-.0042,,
,,-.0003,3.80,6.20,510 / 515,0,.11,-.0032,,
,,.0014,3.65,6.15,515 / 520,-.01,.15,-.0039,,
,,.0019,3.65,6.15,520 / 525,.04,.17,-.0053,,
,,.0030,3.60,6.15,525 / 530,.09,.17,-.0064,,
,,.0069,3.55,5.90,530 / 535,.06,.19,-.0067,,
,,.0053,3.80,5.90,535 / 540,.07,.24,-.0081,,
,,.0075,3.75,5.85,540 / 545,.12,.31,-.0105,,
,,.0105,3.70,5.75,545 / 550,.20,.30,-.0123,,
,,.0131,3.65,5.70,550 / 555,.30,.37,-.0155,,
,,.0140,3.80,5.60,555 / 560,.30,.49,-.0182,,
,,.0211,3.70,5.25,560 / 565,.37,.65,-.0223,,
,,.0251,3.60,5.15,565 / 570,.50,.85,-.0275,,
,,.0315,3.40,4.90,570 / 575,.60,1.00,-.0315,,
,,.0169,1.30,2.80,575 / 577.5,.25,.60,-.0168,,
,,.0190,1.20,2.70,577.5 / 580,.40,.75,-.0199,,
,,.0198,1.15,2.70,580 / 582.5,.45,.80,-.0209,,
,,.0220,1.05,2.55,582.5 / 585,.45,.70,-.0205,,
,,.0219,1.10,2.55,585 / 587.5,.40,.90,-.0221,,
,,.0232,1.00,2.50,587.5 / 590,.55,1.20,-.0250,,
,,.0243,.95,2.40,590 / 592.5,.55,1.30,-.0254,,
,,.0256,.85,2.25,592.5 / 595,.40,1.05,-.0241,,
,,.0259,.85,2.20,595 / 597.5,.80,1.20,-.0265,,
,,.0261,1.15,2.00,597.5 / 600,.80,1.25,-.0269,,
,,.0273,.90,1.65,600 / 602.5,.90,1.60,-.0276,,
