This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 7/7/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
659.58,-19.32,"23,284,450",681.7115,684.00,651.4002

9 JUL 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,48.60,51.40,50 / 100,-.01,.01,.00,,
,,.00,48.70,51.40,100 / 150,-.01,.01,.00,,
,,.00,48.60,51.25,150 / 200,0,.02,-.0002,,
,,.00,48.65,51.35,200 / 250,-.01,.02,-.0001,,
,,.00,48.75,51.35,250 / 300,-.02,.01,.00,,
,,.00,8.60,11.25,300 / 310,.01,.04,-.0005,,
,,.00,8.70,11.40,310 / 320,-.04,.03,.0001,,
,,.00,8.60,11.25,320 / 330,-.01,.05,-.0004,,
,,.00,8.70,11.35,330 / 340,-.02,.01,.0001,,
,,.00,8.60,11.25,340 / 350,-.01,.05,-.0004,,
,,.00,8.70,11.35,350 / 360,0,.08,-.0008,,
,,.1028,8.60,11.30,360 / 370,-.03,.09,-.0006,,
,,-.0028,8.60,11.35,370 / 380,-.07,.06,.00,,
,,-.0028,8.65,11.35,380 / 390,-.05,.06,-.0002,,
,,-.0027,8.60,11.35,390 / 400,-.02,.08,-.0007,,
,,-.0026,8.60,11.35,400 / 410,-.01,.06,-.0007,,
,,-.0025,8.60,11.30,410 / 420,-.03,.03,-.0002,,
,,-.0024,8.60,11.30,420 / 430,.01,.07,-.0011,,
,,-.0025,8.70,11.35,430 / 440,0,.08,-.0011,,
,,-.0022,8.60,11.25,440 / 450,0,.07,-.0011,,
,,-.0022,8.55,11.30,450 / 460,.03,.08,-.0016,,
,,-.0021,8.55,11.35,460 / 470,-.08,.10,-.0007,,
,,-.0021,8.55,11.40,470 / 480,-.02,.18,-.0023,,
,,-.0019,8.45,11.40,480 / 490,.01,.08,-.0017,,
,,-.0021,8.55,11.45,490 / 500,.03,.09,-.0022,,
,,-.0015,8.45,11.35,500 / 510,0,.09,-.0021,,
,,-.0017,8.50,11.45,510 / 520,.02,.12,-.0029,,
,,-.0009,8.40,11.40,520 / 530,-.08,.29,-.0041,,
,,-.0005,3.45,6.50,530 / 535,-.20,.36,-.0028,,
,,-.0005,3.45,6.50,535 / 540,-.18,.26,-.0020,,
,,-.0004,3.45,6.50,540 / 545,-.16,.25,-.0022,,
,,.0003,3.40,6.45,545 / 550,-.15,.16,-.0014,,
,,-.0001,3.45,6.50,550 / 555,-.09,.26,-.0035,,
,,.0004,3.45,6.45,555 / 560,-.16,.30,-.0034,,
,,.0018,3.35,6.40,560 / 565,-.18,.12,-.0009,,
,,.0006,3.45,6.50,565 / 570,-.01,.37,-.0067,,
,,.0022,3.40,6.40,570 / 575,-.32,.16,.00,,
,,.0013,.95,3.95,575 / 577.5,-.04,.24,-.0040,,
,,.0015,.95,3.95,577.5 / 580,-.04,.14,-.0027,,
,,.0016,.95,3.95,580 / 582.5,-.11,.40,-.0054,,
,,.0033,.85,3.90,582.5 / 585,-.28,.22,-.0007,,
,,.0025,.85,4.00,585 / 587.5,-.08,.15,-.0025,,
,,.0027,.85,4.00,587.5 / 590,-.10,.22,-.0034,,
,,.0024,.90,4.00,590 / 592.5,-.07,.54,-.0083,,
,,.0043,.80,3.95,592.5 / 595,-.36,.23,-.0002,,
,,.0028,.90,4.00,595 / 597.5,-.04,.50,-.0085,,
,,.0048,.85,3.90,597.5 / 600,-.30,.26,-.0019,,
,,.0057,.80,3.90,600 / 602.5,-.05,.58,-.0098,,
,,.0048,.85,3.95,602.5 / 605,-.35,.40,-.0036,,
,,.0045,.90,3.95,605 / 607.5,-.18,.58,-.0084,,
,,.0061,.90,3.85,607.5 / 610,-.33,.61,-.0071,,
,,.0083,.80,3.80,610 / 612.5,-.34,.60,-.0072,,
,,.0069,.85,3.90,612.5 / 615,-.28,.61,-.0084,,
,,.0079,.85,3.85,615 / 617.5,-.31,.62,-.0085,,
,,.0108,.75,3.75,617.5 / 620,-.27,.41,-.0068,,
,,.0107,.75,3.80,620 / 622.5,.05,.72,-.0150,,
,,.0112,.75,3.80,622.5 / 625,-.30,.55,-.0093,,
,,.0130,.70,3.75,625 / 627.5,-.10,.70,-.0139,,
,,.0077,1.25,3.75,627.5 / 630,-.15,.70,-.0139,,
,,.0208,.70,3.15,630 / 632.5,-.10,.85,-.0167,,
,,.0167,.65,3.65,632.5 / 635,-.20,.85,-.0164,,
,,.0130,1.15,3.65,635 / 637.5,-.10,.90,-.0187,,
,,.0293,.60,2.45,637.5 / 640,-.10,.65,-.0175,,
,,.0130,1.65,3.50,640 / 642.5,.25,1.00,-.0245,,
,,.0244,.95,2.95,642.5 / 645,.05,1.05,-.0241,,
,,.0265,.90,2.85,645 / 647.5,.10,1.10,-.0259,,
,,.0297,.85,2.50,647.5 / 650,.20,.95,-.0271,,
,,.0308,.85,2.40,650 / 652.5,.55,1.30,-.0315,,
,,.0314,1.00,2.40,652.5 / 655,.35,1.40,-.0319,,
,,.0337,.95,1.80,655 / 657.5,.45,1.55,-.0335,,
,,.0344,1.25,1.75,657.5 / 660,.60,1.70,-.0345,,
,,.0351,.95,1.60,660 / 662.5,.55,1.85,-.0351,,
,,.0339,.65,1.35,662.5 / 665,.50,2.10,-.0355,,
,,.0348,.65,1.55,665 / 667.5,.80,2.60,-.0322,,
,,.0322,.40,1.30,667.5 / 670,.15,2.50,-.0365,,
,,.0317,.60,1.05,670 / 672.5,.25,3.10,-.0325,,
,,.0304,.60,.90,672.5 / 675,.85,3.25,-.0251,,
,,.0306,.45,1.05,675 / 677.5,.35,2.80,-.0345,,
,,.0223,.10,.70,677.5 / 680,.95,3.45,-.0200,,
,,.0234,.35,.60,680 / 682.5,1.00,3.00,-.0242,,
,,.0231,.35,.60,682.5 / 685,.60,3.10,-.0287,,
,,.0231,.28,.67,685 / 687.5,.65,3.65,-.0196,,
,,.0147,.03,.42,687.5 / 690,.70,3.65,-.0183,,
,,.0173,.25,.38,690 / 692.5,.75,3.70,-.0162,,
,,.0150,.14,.38,692.5 / 695,.75,3.70,-.0159,,
,,.0152,.05,.49,695 / 697.5,.85,3.75,-.0127,,
,,.0093,-.01,.27,697.5 / 700,.85,3.75,-.0124,,
,,.0128,.08,.36,700 / 702.5,.90,3.75,-.0111,,
,,.0076,-.07,.28,702.5 / 705,.95,3.75,-.0098,,
,,.0101,.02,.31,705 / 707.5,.95,3.80,-.0084,,
,,.0074,-.05,.27,707.5 / 710,.95,3.85,-.0070,,
,,.0126,.05,.32,710 / 715,3.45,6.25,-.0111,,
,,.0103,.06,.24,715 / 720,3.40,6.20,-.0133,,
,,.0079,.04,.18,720 / 725,3.50,6.35,-.0061,,
,,.0070,.05,.15,725 / 730,3.50,6.30,-.0072,,
,,.0049,.03,.10,730 / 735,3.50,6.35,-.0056,,
,,.0052,.03,.12,735 / 740,3.50,6.35,-.0055,,
,,.0020,-.02,.06,740 / 745,3.55,6.35,-.0039,,
,,.0021,0,.05,745 / 750,3.55,6.40,-.0021,,
,,.0025,.02,.05,750 / 755,3.50,6.40,-.0039,,
,,.0022,.01,.05,755 / 760,3.55,6.40,-.0021,,
,,.0012,0,.03,760 / 765,3.65,6.40,.0018,,
,,.0009,0,.02,765 / 770,3.55,6.30,-.0044,,
,,.0011,0,.03,770 / 775,3.60,6.40,.00,,
,,.0025,-.02,.10,775 / 780,3.55,6.40,.00,,
,,-.0003,-.08,.06,780 / 785,3.55,6.40,.00,,
,,.0002,-.03,.03,785 / 790,3.60,6.40,.00,,
,,.0002,-.04,.04,790 / 795,3.70,6.40,.00,,
,,.0012,-.02,.06,795 / 800,3.60,6.30,.00,,
,,.0007,-.02,.04,800 / 805,3.60,6.35,.00,,
,,-.0004,-.04,.02,805 / 810,3.65,6.35,.00,,
,,.0006,-.01,.03,810 / 815,3.65,6.35,.00,,
,,.0011,-.01,.05,815 / 820,3.70,6.35,.00,,
,,.0008,-.02,.05,820 / 825,3.65,6.30,.00,,
,,-.0012,-.05,0,825 / 830,3.75,6.35,.00,,
,,.0021,.01,.07,830 / 835,3.75,6.25,.00,,
,,-.0005,-.04,.02,835 / 840,3.70,6.25,.00,,
,,-.0004,-.04,.02,840 / 845,3.70,6.30,.00,,
,,.0003,-.03,.04,845 / 850,3.60,6.30,.00,,
,,.0005,-.02,.04,850 / 855,3.60,6.40,.00,,
,,.00,-.03,.03,855 / 860,3.60,6.40,.00,,
,,.0001,-.03,.03,860 / 865,3.60,6.40,.00,,
,,.0003,-.02,.03,865 / 870,3.60,6.40,.00,,
,,-.0005,-.03,.01,870 / 875,3.70,6.40,.00,,
,,.0005,-.01,.03,875 / 880,3.70,6.30,.00,,
,,-.0002,-.02,.01,880 / 885,3.70,6.30,.00,,
,,.0003,-.01,.02,885 / 890,3.60,6.25,.00,,
,,.0003,-.02,.03,890 / 895,3.65,6.35,.00,,
,,.00,-.02,.02,895 / 900,3.65,6.35,.00,,
,,.00,-.01,.01,900 / 905,3.65,6.35,.00,,
,,.0002,-.01,.02,905 / 910,1.40,8.70,.00,,
,,-.0002,-.02,.01,910 / 915,-.95,10.95,.00,,
,,.0002,-.01,.02,915 / 920,1.30,8.60,.00,,
,,.00,-.02,.02,920 / 925,3.75,6.40,.00,,
,,.00,-.02,.02,925 / 930,3.70,6.30,.00,,
,,-.0004,-.05,.03,930 / 935,1.35,8.60,.00,,
,,.0009,-.02,.06,935 / 940,-.95,10.95,.00,,
,,-.0020,-.12,.02,940 / 945,1.40,8.65,.00,,
,,.0016,-.03,.11,945 / 950,3.60,6.30,.00,,
,,-.0008,-.07,.03,950 / 955,1.35,8.70,.00,,
,,.0010,-.02,.07,955 / 960,-.95,10.95,.00,,
,,-.0020,-.12,.01,960 / 965,-.95,10.95,.00,,
,,.0020,-.01,.12,965 / 970,-.95,10.95,.00,,
,,-.0020,-.12,.01,970 / 975,-.95,10.95,.00,,
,,.00,-.12,.12,975 / 980,-.95,10.95,.00,,
,,.0002,-.12,.13,980 / 985,-.95,10.95,.00,,
,,.0014,-.05,.13,985 / 990,-.95,10.95,.00,,
,,-.0013,-.13,.05,990 / 995,1.30,8.65,.00,,
,,.0019,-.02,.13,995 / 1000,1.35,8.70,.00,,
,,-.0017,-.12,.02,1000 / 1005,-.95,10.95,.00,,
,,-.0001,-.12,.11,1005 / 1010,-.95,10.95,.00,,
,,.0002,-.11,.12,1010 / 1015,-.95,10.95,.00,,
,,.00,-.12,.12,1015 / 1020,-.95,10.95,.00,,
,,-.0001,-.12,.11,1020 / 1025,1.30,8.65,.00,,
,,.00,-.11,.11,1025 / 1030,1.35,8.70,.00,,
,,.0002,-.11,.12,1030 / 1035,-.95,10.95,.00,,
,,.00,-.12,.12,1035 / 1040,-.95,10.95,.00,,
,,.0008,-.07,.12,1040 / 1045,-.95,10.95,.00,,
,,.0002,-.05,.06,1045 / 1050,-.95,10.95,.00,,
,,-.0002,-.06,.05,1050 / 1055,1.30,8.65,.00,,
,,-.0007,-.12,.07,1055 / 1060,1.35,8.70,.00,,
,,.0009,-.06,.12,1060 / 1065,-.95,10.95,.00,,
,,-.0001,-.07,.06,1065 / 1070,-.95,10.95,.00,,
,,-.0007,-.12,.07,1070 / 1075,-.95,10.95,.00,,
,,.00,-.12,.12,1075 / 1080,-.95,10.95,.00,,
,,.00,-.12,.12,1080 / 1085,1.30,8.65,.00,,
,,.00,-.12,.12,1085 / 1090,3.60,6.40,.00,,
,,.00,-.12,.12,1090 / 1095,1.35,8.70,.00,,
,,.0013,-.02,.11,1095 / 1100,-.95,10.95,.00,,
,,-.0013,-.11,.02,1100 / 1105,-.95,10.95,.00,,
,,.0015,-.02,.12,1105 / 1110,-.95,10.95,.00,,
