This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 8/3/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
709.67,+22.47,"33,615,765",700.00,726.94,698.40

6 AUG 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,98.55,101.55,100 / 200,-.01,.01,.00,,
,,.0006,98.55,101.40,200 / 300,-.01,.01,.00,,
,,.0007,8.50,11.40,300 / 310,-.01,.02,-.0001,,
,,-.0006,8.60,11.50,310 / 320,-.02,.02,.00,,
,,.00,8.60,11.40,320 / 330,-.02,.02,.00,,
,,.0001,8.60,11.40,330 / 340,-.01,.02,-.0001,,
,,.0001,8.60,11.40,340 / 350,-.01,.01,.00,,
,,-.0004,8.65,11.40,350 / 360,-.01,.02,-.0001,,
,,.00,8.65,11.35,360 / 370,-.02,.02,.00,,
,,.0001,8.65,11.35,370 / 380,-.01,.02,-.0001,,
,,.00,8.65,11.35,380 / 390,-.02,.01,.0001,,
,,.00,8.65,11.35,390 / 400,-.02,.03,-.0001,,
,,.0015,8.50,11.35,400 / 410,-.03,.03,.00,,
,,-.0008,8.60,11.50,410 / 420,-.02,.04,-.0003,,
,,.0001,8.60,11.40,420 / 430,-.02,.03,-.0002,,
,,.0011,8.55,11.35,430 / 440,-.05,.02,.0003,,
,,-.0004,8.65,11.40,440 / 450,0,.06,-.0008,,
,,.0001,8.65,11.35,450 / 460,-.02,.03,-.0002,,
,,.0007,8.60,11.35,460 / 470,-.02,.05,-.0005,,
,,.0013,8.55,11.35,470 / 480,-.02,.06,-.0006,,
,,-.0003,8.65,11.40,480 / 490,-.05,.04,.00,,
,,.0008,8.60,11.35,490 / 500,0,.05,-.0008,,
,,.0015,8.55,11.35,500 / 510,.01,.04,-.0009,,
,,.0016,8.50,11.40,510 / 520,-.01,.07,-.0011,,
,,-.0008,8.60,11.50,520 / 530,-.04,.06,-.0006,,
,,.0011,8.60,11.35,530 / 540,0,.09,-.0017,,
,,.0012,8.60,11.35,540 / 550,-.03,.04,-.0006,,
,,.0034,8.45,11.35,550 / 560,-.01,.08,-.0016,,
,,.0001,8.60,11.45,560 / 570,-.03,.08,-.0015,,
,,.0012,3.60,6.35,570 / 575,-.01,.09,-.0017,,
