This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 9/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
752.92,+19.35,"20,039,825",740.00,760.20,739.26

10 SEP 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,98.45,101.55,100 / 200,-.01,.01,.00,,
,,.00,98.45,101.55,200 / 300,-.01,.01,.00,,
,,.00,98.45,101.55,300 / 400,0,.02,-.0003,,
,,.00,8.40,11.50,400 / 410,0,.02,-.0002,,
,,.00,8.45,11.55,410 / 420,-.01,.01,.00,,
,,.00,8.45,11.55,420 / 430,-.01,.02,-.0001,,
,,.00,8.45,11.55,430 / 440,-.01,.03,-.0003,,
,,.00,8.45,11.55,440 / 450,-.01,.03,-.0003,,
,,.00,8.45,11.55,450 / 460,-.01,.02,-.0002,,
,,.00,8.45,11.50,460 / 470,0,.04,-.0005,,
,,.0898,8.45,11.50,470 / 480,-.02,.04,-.0003,,
,,-.0022,8.45,11.55,480 / 490,-.01,.07,-.0008,,
,,-.0021,8.40,11.50,490 / 500,-.04,.06,-.0003,,
,,-.0021,8.45,11.55,500 / 510,-.03,.07,-.0006,,
,,-.0020,8.40,11.50,510 / 520,-.02,.08,-.0009,,
,,-.0020,8.45,11.55,520 / 530,-.03,.08,-.0008,,
,,-.0018,8.40,11.50,530 / 540,-.03,.09,-.0010,,
,,-.0019,8.45,11.55,540 / 550,-.02,.10,-.0013,,
,,-.0017,8.40,11.50,550 / 560,.02,.09,-.0017,,
,,-.0017,8.40,11.50,560 / 570,0,.06,-.0012,,
,,-.0009,3.45,6.55,570 / 575,-.01,.10,-.0013,,
,,-.0007,3.40,6.50,575 / 580,-.01,.09,-.0013,,
,,-.0007,3.40,6.50,580 / 585,0,.07,-.0012,,
,,-.0007,3.45,6.50,585 / 590,-.03,.07,-.0009,,
,,-.0006,3.45,6.45,590 / 595,-.03,.10,-.0013,,
,,-.0006,3.45,6.45,595 / 600,-.01,.09,-.0014,,
,,-.0005,3.45,6.45,600 / 605,-.01,.10,-.0016,,
,,-.0005,3.45,6.45,605 / 610,-.01,.11,-.0018,,
,,-.0002,3.40,6.45,610 / 615,-.01,.10,-.0018,,
,,-.0003,3.40,6.50,615 / 620,.03,.11,-.0025,,
,,-.0002,3.40,6.50,620 / 625,0,.07,-.0017,,
,,.0001,3.40,6.45,625 / 630,0,.11,-.0023,,
,,.0003,3.40,6.45,630 / 635,-.01,.12,-.0024,,
,,.0002,3.40,6.50,635 / 640,0,.12,-.0027,,
,,.0007,3.40,6.45,640 / 645,0,.10,-.0026,,
,,.0009,3.40,6.45,645 / 650,.03,.12,-.0034,,
,,.0012,3.35,6.50,650 / 655,.03,.12,-.0036,,
,,.0011,3.35,6.55,655 / 660,.01,.12,-.0035,,
,,.0022,3.30,6.50,660 / 665,.01,.14,-.0041,,
,,.0022,3.30,6.55,665 / 670,.01,.15,-.0045,,
,,.0032,3.25,6.55,670 / 675,.05,.16,-.0055,,
,,.0032,3.30,6.55,675 / 680,.02,.12,-.0050,,
,,.0043,3.30,6.50,680 / 685,.02,.15,-.0059,,
,,.0051,3.30,6.50,685 / 690,.03,.18,-.0070,,
,,.0059,3.30,6.50,690 / 695,.03,.19,-.0078,,
,,.0069,3.35,6.45,695 / 700,.04,.21,-.0091,,
,,-.0022,1.40,3.95,700 / 702.5,-.10,.15,-.0038,,
,,.0115,.85,3.50,702.5 / 705,-.05,.25,-.0063,,
,,.0052,.85,4.00,705 / 707.5,-.03,.20,-.0062,,
,,.0056,.85,4.00,707.5 / 710,.04,.16,-.0070,,
,,.0061,.85,4.00,710 / 712.5,0,.14,-.0065,,
,,.0073,.85,3.95,712.5 / 715,0,.20,-.0079,,
,,.0086,.85,3.90,715 / 717.5,.01,.20,-.0086,,
,,.0134,.90,3.55,717.5 / 720,.01,.18,-.0089,,
,,-.0014,1.70,3.85,720 / 722.5,.04,.23,-.0108,,
,,.0230,.90,3.00,722.5 / 725,.05,.24,-.0119,,
,,.0085,1.20,3.80,725 / 727.5,.05,.32,-.0140,,
,,.0145,1.30,3.35,727.5 / 730,.05,.35,-.0155,,
,,.0380,3.95,5.00,730 / 735,.40,.65,-.0385,,
,,.0531,3.50,4.75,735 / 740,.65,.90,-.0513,,
,,.0664,3.15,4.50,740 / 745,1.00,1.25,-.0664,,
,,.0796,3.15,3.95,745 / 750,1.40,1.70,-.0813,,
,,.0925,2.65,3.00,750 / 755,1.85,2.55,-.0926,,
,,.0923,1.95,2.20,755 / 760,2.60,3.45,-.0907,,
,,.0835,1.45,1.65,760 / 765,2.40,4.15,-.0872,,
,,.0679,.95,1.17,765 / 770,2.45,5.40,-.0691,,
,,.0572,.74,.93,770 / 775,2.75,5.75,-.0541,,
,,.0398,.44,.56,775 / 780,3.00,6.00,-.0399,,
,,.0290,.29,.39,780 / 785,3.15,6.10,-.0310,,
,,.0228,.22,.31,785 / 790,3.30,6.20,-.0220,,
,,.0169,.16,.22,790 / 795,3.35,6.35,-.0145,,
,,.0124,.12,.15,795 / 800,3.30,6.40,-.0133,,
,,.0100,.09,.13,800 / 805,3.40,6.15,-.0183,,
,,.0064,.04,.09,805 / 810,3.70,6.00,-.0139,,
