This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 10/5/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
781.53,+6.31,"30,483,341",796.50,806.9699,776.12

8 OCT 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,48.15,51.90,100 / 150,-.01,.01,.00,,
,,.00,48.10,51.90,150 / 200,-.01,.01,.00,,
,,.00,48.10,51.85,200 / 250,-.01,.02,-.0001,,
,,.00,48.15,51.85,250 / 300,-.02,.02,.00,,
,,.1251,48.10,51.85,300 / 350,0,.03,-.0003,,
,,-.0125,48.15,51.60,350 / 400,-.01,.03,-.0003,,
,,-.0026,8.45,11.75,400 / 410,0,.04,-.0004,,
,,-.1101,8.25,11.85,410 / 420,.01,.03,-.0004,,
,,.1054,8.15,11.50,420 / 430,-.05,.01,.0003,,
,,-.0025,8.40,11.80,430 / 440,.02,.08,-.0009,,
,,-.0022,8.15,11.60,440 / 450,-.01,.02,-.0002,,
,,-.0022,8.40,11.50,450 / 460,-.03,.04,-.0002,,
,,-.0025,8.45,11.85,460 / 470,0,.07,-.0007,,
,,-.0019,8.10,11.50,470 / 480,.01,.08,-.0009,,
,,-.0024,8.45,11.85,480 / 490,-.03,.08,-.0006,,
,,-.0018,8.10,11.50,490 / 500,-.02,.09,-.0008,,
,,-.0023,8.40,11.80,500 / 510,-.03,.10,-.0008,,
,,-.0017,8.10,11.50,510 / 520,0,.26,-.0024,,
,,-.0018,8.40,11.45,520 / 530,-.13,.17,-.0007,,
,,-.0022,8.45,11.75,530 / 540,-.06,.26,-.0020,,
,,-.0012,8.05,11.40,540 / 550,-.12,.13,-.0006,,
,,-.0020,8.40,11.75,550 / 560,.02,.15,-.0020,,
,,-.0015,8.10,11.70,560 / 570,.02,.21,-.0026,,
,,-.0009,8.10,11.45,570 / 580,-.03,.23,-.0025,,
,,-.0008,8.25,11.40,580 / 590,.01,.32,-.0037,,
,,-.0008,8.30,11.45,590 / 600,-.01,.21,-.0028,,
,,-.0012,3.40,6.80,600 / 605,-.03,.22,-.0022,,
,,.00,3.05,6.70,605 / 610,-.12,.29,-.0021,,
,,-.0003,3.10,6.80,610 / 615,-.13,.32,-.0024,,
,,.00,3.05,6.80,615 / 620,-.12,.23,-.0018,,
,,.0001,3.05,6.80,620 / 625,-.01,.22,-.0027,,
,,.0005,3.00,6.75,625 / 630,-.01,.31,-.0035,,
,,.0019,3.00,6.45,630 / 635,-.14,.21,-.0017,,
,,-.0001,3.30,6.70,635 / 640,0,.38,-.0044,,
,,.0023,3.05,6.45,640 / 645,-.11,.38,-.0036,,
,,.0002,3.30,6.70,645 / 650,-.30,.37,-.0021,,
,,.0011,3.10,6.75,650 / 655,-.11,.56,-.0053,,
,,.0021,3.00,6.70,655 / 660,-.09,.36,-.0040,,
,,.0024,3.00,6.70,660 / 665,-.05,.39,-.0048,,
,,.0037,2.95,6.60,665 / 670,-.11,.41,-.0046,,
,,.0028,3.05,6.70,670 / 675,-.09,.34,-.0045,,
,,.0041,2.95,6.65,675 / 680,-.09,.38,-.0050,,
,,.0042,3.05,6.60,680 / 685,.05,.52,-.0076,,
,,.0026,3.55,6.40,685 / 690,0,.40,-.0065,,
,,.0121,3.00,5.65,690 / 695,.05,.45,-.0077,,
,,.0009,3.85,6.50,695 / 700,.05,.40,-.0077,,
,,.0106,3.20,5.85,700 / 705,.10,.50,-.0093,,
,,.0073,3.25,6.35,705 / 710,.10,.50,-.0098,,
,,.0138,2.80,6.00,710 / 715,.15,.55,-.0112,,
,,.0096,3.05,6.45,715 / 720,.25,.55,-.0126,,
,,.0116,2.95,6.40,720 / 725,.20,.45,-.0123,,
,,.0144,2.85,6.25,725 / 730,.35,.60,-.0153,,
,,.0155,2.80,6.30,730 / 735,-.15,.55,-.0126,,
,,.0175,2.75,6.25,735 / 740,.25,1.10,-.0204,,
,,.0200,2.65,6.20,740 / 745,-.05,.80,-.0179,,
,,.0207,2.95,6.10,745 / 750,0,1.25,-.0229,,
,,.0282,2.80,5.30,750 / 755,.10,1.40,-.0264,,
,,.0280,3.25,5.35,755 / 760,.30,1.65,-.0310,,
,,.0336,3.05,5.00,760 / 765,.15,1.70,-.0333,,
,,.0389,2.95,4.50,765 / 770,.35,2.15,-.0390,,
,,.0437,2.65,4.10,770 / 775,.55,2.40,-.0435,,
,,.0472,2.65,4.00,775 / 780,1.15,2.65,-.0479,,
,,.0511,2.45,3.40,780 / 785,1.40,2.65,-.0512,,
,,.0530,2.15,2.95,785 / 790,1.70,3.25,-.0530,,
,,.0531,1.90,2.45,790 / 795,1.55,4.15,-.0529,,
,,.0510,1.60,2.00,795 / 800,1.40,4.85,-.0520,,
,,.0482,1.25,1.80,800 / 805,2.00,5.25,-.0458,,
,,.0413,.65,1.60,805 / 810,2.00,5.35,-.0455,,
,,.0405,.70,1.45,810 / 815,2.40,5.80,-.0364,,
,,.0334,.60,.97,815 / 820,2.75,5.55,-.0351,,
,,.0277,.43,.77,820 / 825,2.95,6.00,-.0253,,
,,.0228,.31,.61,825 / 830,2.75,6.05,-.0276,,
,,.0186,.23,.48,830 / 835,3.35,6.25,-.0128,,
,,.0136,.09,.39,835 / 840,3.30,6.30,-.0120,,
,,.0134,.09,.40,840 / 845,2.95,6.30,-.0186,,
,,.0086,.04,.24,845 / 850,3.10,6.65,-.0080,,
,,.0085,.04,.25,850 / 855,3.30,6.65,-.0032,,
,,.0072,.04,.20,855 / 860,3.25,6.40,-.0094,,
,,.0069,.08,.11,860 / 870,8.05,11.55,-.0118,,
,,.0079,.10,.16,870 / 880,8.25,11.70,-.0029,,
,,.0045,-.01,.15,880 / 890,8.40,11.45,-.0047,,
,,.0015,-.06,.09,890 / 900,8.30,11.50,-.0056,,
,,.0023,0,.07,900 / 910,8.20,11.45,-.0110,,
,,.0029,-.02,.12,910 / 920,8.35,11.55,.00,,
,,.0015,-.07,.12,920 / 930,8.65,11.85,.0104,,
,,-.0011,-.11,.05,930 / 940,8.15,11.45,-.0104,,
,,.0023,-.01,.10,940 / 950,8.35,11.75,.0031,,
,,.0006,-.04,.06,950 / 960,8.20,11.70,-.0031,,
,,.0013,-.05,.10,960 / 970,8.45,11.80,.0060,,
,,.0003,-.06,.07,970 / 980,8.45,11.50,-.0012,,
,,-.0002,-.04,.03,980 / 990,8.45,11.55,-.0002,,
