Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,113989973,1460.228499097392,2649830,33.94471620554943,289732,2531542,32.42942934166683,62871,0.8053868559715519,5425,
United States of America,Americas,28294809,8548.21,466439,140.92,50218,509645,153.97,14370,4.34,1061,Community transmission
India,South-East Asia,11124527,806.12,108093,7.83,12286,157248,11.39,785,0.06,91,Clusters of cases
Brazil,Americas,10551259,4963.91,383085,180.22,34027,254942,119.94,8438,3.97,721,Community transmission
Russian Federation,Europe,4257650,2917.51,80320,55.04,11571,86455,59.24,2825,1.94,333,Clusters of cases
The United Kingdom,Europe,4176558,6152.31,61045,89.92,6035,122849,180.96,2269,3.34,144,Community transmission
France,Europe,3690421,5653.78,147126,225.4,19213,85986,131.73,2120,3.25,114,Community transmission
Spain,Europe,3180212,6801.9,18933,40.49,0,68813,147.18,420,0.9,0,Community transmission
Italy,Europe,2925265,4838.2,116019,191.89,17440,97699,161.59,1981,3.28,192,Clusters of cases
Turkey,Europe,2701588,3203.25,63166,74.9,8424,28569,33.87,509,0.6,66,Community transmission
Germany,Europe,2447068,2920.69,56140,67.01,4732,70105,83.67,2202,2.63,60,Community transmission
Colombia,Americas,2251690,4425.24,25428,49.97,3555,59766,117.46,932,1.83,106,Community transmission
Argentina,Americas,2112023,4673.05,42272,93.53,4658,52077,115.23,718,1.59,112,Community transmission
Mexico,Americas,2086938,1618.63,45558,35.33,2810,185715,144.04,5608,4.35,458,Community transmission
Poland,Europe,1711772,4522.92,69114,182.62,4786,43793,115.71,1605,4.24,24,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1639679,1952.16,57404,68.34,8510,60181,71.65,609,0.73,108,Community transmission
South Africa,Africa,1513393,2551.72,9597,16.18,1168,49993,84.29,940,1.58,52,Community transmission
Ukraine,Europe,1352134,3091.74,44472,101.69,4285,26050,59.56,894,2.04,68,Community transmission
Indonesia,South-East Asia,1341314,490.38,52481,19.19,6680,36325,13.28,1634,0.6,159,Community transmission
Peru,Americas,1329805,4033.15,46496,141.02,5942,46494,141.01,1397,4.24,195,Community transmission
Czechia,Europe,1240051,11579.54,82871,773.85,4571,20469,191.14,1139,10.64,130,Community transmission
Netherlands,Europe,1088690,6353.65,32235,188.13,4729,15563,90.83,347,2.03,21,Community transmission
Canada,Americas,866503,2295.85,20851,55.25,2307,21994,58.27,320,0.85,34,Community transmission
Chile,Americas,829770,4340.66,26761,139.99,4145,20660,108.08,534,2.79,88,Community transmission
Portugal,Europe,804562,7890.41,7037,69.01,718,16317,160.02,355,3.48,41,Clusters of cases
Romania,Europe,801994,4168.87,22299,115.91,2830,20350,105.78,503,2.61,63,Community transmission
Belgium,Europe,771511,6656.91,15156,130.77,1,22077,190.49,139,1.2,6,Community transmission
Israel,Europe,764791,8835.86,16629,192.12,0,5669,65.5,91,1.05,0,Community transmission
Iraq,Eastern Mediterranean,699088,1738.05,27287,67.84,3599,13428,33.38,133,0.33,22,Community transmission
