Entity,Code,Date,"Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new estimated infections of COVID-19 (LSHTM, lower)","Daily new estimated infections of COVID-19 (LSHTM, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Afghanistan,AFG,2020-02-26,,,,0.33333
Afghanistan,AFG,2020-02-27,,,,0.25
Afghanistan,AFG,2020-02-28,,,,0.2
Afghanistan,AFG,2020-02-29,,,,0.16667
Afghanistan,AFG,2020-03-01,,,,0.14286
Afghanistan,AFG,2020-03-02,,,,0
Afghanistan,AFG,2020-03-03,,,,0.14286
Afghanistan,AFG,2020-03-04,,,,0.42857
Afghanistan,AFG,2020-03-05,,,,0.42857
Afghanistan,AFG,2020-03-06,,,,0.42857
Afghanistan,AFG,2020-03-07,,,,0.42857
Afghanistan,AFG,2020-03-08,,,,0.57143
Afghanistan,AFG,2020-03-09,,,,0.85714
Afghanistan,AFG,2020-03-10,,,,0.85714
Afghanistan,AFG,2020-03-11,,,,1
Afghanistan,AFG,2020-03-12,,,,1.14286
Afghanistan,AFG,2020-03-13,,,,1.28571
Afghanistan,AFG,2020-03-14,,,,1.57143
Afghanistan,AFG,2020-03-15,,,,1.57143
Afghanistan,AFG,2020-03-16,,,,1.57143
Afghanistan,AFG,2020-03-17,,,,1.71429
Afghanistan,AFG,2020-03-18,,,,1.85714
Afghanistan,AFG,2020-03-19,,,,1.85714
Afghanistan,AFG,2020-03-20,,,,2.28571
Afghanistan,AFG,2020-03-21,,,,2.14286
Afghanistan,AFG,2020-03-22,,,,2.57143
Afghanistan,AFG,2020-03-23,,,,3.28571
Afghanistan,AFG,2020-03-24,,,,3.28571
Afghanistan,AFG,2020-03-25,,,,7.42857
Afghanistan,AFG,2020-03-26,68.9920554190085,25.6130450965727,186.796195238378,7.85714
Afghanistan,AFG,2020-03-27,69.80116591761,26.0272794756425,186.225519204464,8.85714
Afghanistan,AFG,2020-03-28,89.176932025364,33.4216027286723,233.701425868846,11
Afghanistan,AFG,2020-03-29,110.163728294147,41.4656386769385,284.102678439867,12
Afghanistan,AFG,2020-03-30,108.333175792121,41.1352932904245,274.436578914613,15
Afghanistan,AFG,2020-03-31,137.632212590392,52.6552867767763,342.290191061821,18.85714
Afghanistan,AFG,2020-04-01,169.735217288433,65.6010551021844,414.78904659966,17.28571
Afghanistan,AFG,2020-04-02,160.575813316141,62.7325357742537,386.220693691557,22.85714
Afghanistan,AFG,2020-04-03,219.721051448064,86.8555597183237,518.436915185511,26.28571
Afghanistan,AFG,2020-04-04,197.427988457495,78.8429405348476,458.35435169306,27.57143
Afghanistan,AFG,2020-04-05,223.976199358201,90.519058586888,513.025056648541,31.42857
Afghanistan,AFG,2020-04-06,251.056008122458,102.612083132177,567.377843708732,31.71429
Afghanistan,AFG,2020-04-07,263.632149585617,108.903348817017,589.147527611944,35.57143
Afghanistan,AFG,2020-04-08,267.279007668863,111.634522757908,591.38237433351,35.42857
Afghanistan,AFG,2020-04-09,302.885880448242,127.8754786075,664.639305922935,35
Afghanistan,AFG,2020-04-10,321.079719913049,136.943202296975,699.813409897294,36.71429
