Entity,Code,Date,"Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (YYG, lower)","Daily new estimated infections of COVID-19 (YYG, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Afghanistan,AFG,2020-02-26,,,,0.33333
Afghanistan,AFG,2020-02-27,,,,0.25
Afghanistan,AFG,2020-02-28,,,,0.2
Afghanistan,AFG,2020-02-29,,,,0.16667
Afghanistan,AFG,2020-03-01,,,,0.14286
Afghanistan,AFG,2020-03-02,,,,0
Afghanistan,AFG,2020-03-03,,,,0.14286
Afghanistan,AFG,2020-03-04,,,,0.42857
Afghanistan,AFG,2020-03-05,,,,0.42857
Afghanistan,AFG,2020-03-06,,,,0.42857
Afghanistan,AFG,2020-03-07,,,,0.42857
Afghanistan,AFG,2020-03-08,,,,0.57143
Afghanistan,AFG,2020-03-09,,,,0.85714
Afghanistan,AFG,2020-03-10,,,,0.85714
Afghanistan,AFG,2020-03-11,,,,1
Afghanistan,AFG,2020-03-12,,,,1.14286
Afghanistan,AFG,2020-03-13,,,,1.28571
Afghanistan,AFG,2020-03-14,,,,1.57143
Afghanistan,AFG,2020-03-15,,,,1.57143
Afghanistan,AFG,2020-03-16,,,,1.57143
Afghanistan,AFG,2020-03-17,,,,1.71429
Afghanistan,AFG,2020-03-18,,,,1.85714
Afghanistan,AFG,2020-03-19,,,,1.85714
Afghanistan,AFG,2020-03-20,,,,2.28571
Afghanistan,AFG,2020-03-21,,,,2.14286
Afghanistan,AFG,2020-03-22,,,,2.57143
Afghanistan,AFG,2020-03-23,,,,3.28571
Afghanistan,AFG,2020-03-24,,,,3.28571
Afghanistan,AFG,2020-03-25,,,,7.42857
Afghanistan,AFG,2020-03-26,,,,7.85714
Afghanistan,AFG,2020-03-27,,,,8.85714
Afghanistan,AFG,2020-03-28,,,,11
Afghanistan,AFG,2020-03-29,,,,12
Afghanistan,AFG,2020-03-30,,,,15
Afghanistan,AFG,2020-03-31,,,,18.85714
Afghanistan,AFG,2020-04-01,,,,17.28571
Afghanistan,AFG,2020-04-02,,,,22.85714
Afghanistan,AFG,2020-04-03,,,,26.28571
Afghanistan,AFG,2020-04-04,,,,27.57143
Afghanistan,AFG,2020-04-05,,,,31.42857
Afghanistan,AFG,2020-04-06,,,,31.71429
Afghanistan,AFG,2020-04-07,,,,35.57143
Afghanistan,AFG,2020-04-08,,,,35.42857
Afghanistan,AFG,2020-04-09,,,,35
Afghanistan,AFG,2020-04-10,,,,36.71429
Afghanistan,AFG,2020-04-11,,,,36.57143
Afghanistan,AFG,2020-04-12,,,,38.57143
Afghanistan,AFG,2020-04-13,,,,42.57143
Afghanistan,AFG,2020-04-14,,,,41.57143
Afghanistan,AFG,2020-04-15,,,,48.57143
Afghanistan,AFG,2020-04-16,,,,50.85714
Afghanistan,AFG,2020-04-17,,,,53.57143
Afghanistan,AFG,2020-04-18,,,,54
Afghanistan,AFG,2020-04-19,,,,55.57143
Afghanistan,AFG,2020-04-20,,,,51.57143
Afghanistan,AFG,2020-04-21,,,,54
Afghanistan,AFG,2020-04-22,,,,56
