Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source
100,12 and Under,Yaroslav Z,M,,12,UKR,00:15.8,2021,PM Verification Code
100,12 and Under,Danielle Kaschula,F,,12,ZIM,00:17.5,2021,PM Verification Code
100,13-14,Isaiah Harrison,M,,14,USA,00:14.4,2019,PM Verification Code
100,13-14,Imke Kitchin,F,,14,NZL,00:17.0,2016,Witnessed at public club
100,15-16,Isaiah Harrison,M,,16,USA,00:13.7,2020,PM Verification Code
100,15-16,Gabrielle Graves,F,,16,USA,00:16.7,2019,PM Verification Code
100,17-18,Egor Lubskiy,M,Hwt,18,RUS,00:13.2,2021,Video
100,17-18,Itai Almogy,M,Lwt,18,USA,00:14.6,2021,PM Verification Code
100,17-18,Isabel Bisschops,F,Hwt,17,AUS,00:16.1,2020,PM Verification Code
100,17-18,Annie Phillips,F,Lwt,18,USA,00:17.8,2017,Witnessed at public club
100,19-29,Michel Palisaar,M,Hwt,27,GER,00:12.8,2020,PM Verification Code
100,19-29,Azizjon Abdullaev,M,Lwt,27,TJK,00:14.1,2021,PM Verification Code
100,19-29,Cissi Velin,F,Hwt,26,SWE,00:15.7,2016,PM Verification Code
100,19-29,Vici Blann,F,Lwt,29,GBR,00:16.7,2018,PM Verification Code
100,30-39,Loren Howard,M,Hwt,34,USA,00:12.6,2019,PM Verification Code
100,30-39,Oskar Hartmann,M,Lwt,37,GER,00:13.4,2020,PM Verification Code
100,30-39,Anastasia Ganina,F,Hwt,34,RUS,00:15.1,2020,PM Verification Code
100,30-39,Anna Lewis,F,Lwt,37,GBR,00:17.6,2017,PM Verification Code
100,40-49,Lasse Edvardsen,M,Hwt,44,NOR,00:12.9,2020,PM Verification Code
100,40-49,Tyson Whitt,M,Lwt,42,USA,00:14.0,2021,PM Verification Code
100,40-49,Ana Caldas,F,Hwt,40,USA,00:15.9,2018,PM Verification Code
100,40-49,Tanya Haeffele,F,Lwt,40,GBR,00:17.0,2020,PM Verification Code
100,50-59,Paul Jeffrey,M,Hwt,54,AUS,00:13.1,2018,PM Verification Code
100,50-59,Jeff Arquette,M,Lwt,56,USA,00:14.4,2018,Video
100,50-59,Deb Sarhan,F,Hwt,54,USA,00:15.5,2021,PM Verification Code
100,50-59,Dénia Amon,F,Lwt,52,GER,00:17.8,2019,PM Verification Code
100,60-69,Steve Bainbridge,M,Hwt,63,GBR,00:14.1,2020,PM Verification Code
100,60-69,Steve Roedde,M,Lwt,63,CAN,00:15.0,2018,PM Verification Code
100,60-69,Peta Robinson,F,Hwt,61,AUS,00:18.2,2021,PM Verification Code
100,60-69,Carol Woodward,F,Lwt,60,GBR,00:18.8,2019,PM Verification Code
100,70-79,David Berry,M,Hwt,75,AUS,00:15.5,2020,PM Verification Code
100,70-79,Jørgen Engelbrecht,M,Lwt,71,DEN,00:16.5,2018,PM Verification Code
100,70-79,Jill Gardner,F,Lwt,71,USA,00:19.7,2020,PM Verification Code
100,70-79,Barb McColl,F,Hwt,70,CAN,00:19.8,2021,PM Verification Code
100,80-89,Jan Otto Kristiansen,M,Hwt,80,NOR,00:16.3,2021,PM Verification Code
100,80-89,Ernest Tuff,M,Hwt,80,GBR,00:16.3,2019,PM Verification Code
100,80-89,Edwin Berry,M,Lwt,83,USA,00:18.1,2020,PM Verification Code
100,80-89,Hilary Weeks,F,Hwt,80,NZL,00:21.7,2017,PM Verification Code
100,80-89,Anne Cresswell,F,Lwt,80,AUS,00:22.7,2019,PM Verification Code
100,90-99,Allan Coles,M,Hwt,91,AUS,00:20.3,2019,PM Verification Code
100,90-99,Dean Smith,M,Lwt,94,USA,00:21.6,2021,PM Verification Code
100,90-99,"Kathlyn ""Phyllis"" Chrisfield",F,Hwt,92,USA,00:36.6,2019,PM Verification Code
100,90-99,Mary Gibson,F,Lwt,90,GBR,00:42.4,2019,Witnessed at public club
100,100+,Anita Chionchio,F,Hwt,101,USA,00:43.9,2019,Witnessed at public club
100,100+,Grace Monaghan,F,Lwt,103,USA,00:52.1,2018,PM Verification Code
100,100+,Angelo DeCaro,M,Lwt,101,USA,01:09.0,2017,Witnessed at public club
1000,12 and Under,Yaroslav Z,M,,12,UKR,03:14.9,2021,PM Verification Code
1000,12 and Under,Dani K,F,,12,ZIM,03:23.5,2020,Video
1000,13-14,Isaiah Harrison,M,,14,USA,02:53.1,2019,PM Verification Code
1000,13-14,Elizabeth Sharis,F,,14,USA,03:26.4,2012,PM Verification Code
1000,15-16,Isaiah Harrison,M,,16,USA,02:45.3,2020,PM Verification Code
