Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source,Pos.
1,12 and Under,Yaroslav Z,M,,12,UKR,350m,2021,PM Verification Code,
1,12 and Under,Danielle Kaschula,F,,12,ZIM,331m,2021,PM Verification Code,
1,13-14,Isaiah Harrison,M,,14,USA,381m,2018,PM Verification Code,
1,13-14,Sofie Haek,F,,14,DEN,329m,2018,PM Verification Code,
1,15-16,Isaiah Harrison,M,,16,USA,410m,2020,PM Verification Code,
1,15-16,Meg Knight,F,,16,GBR,339m,2021,PM Verification Code,
1,15-16,Gabrielle Graves,F,,16,USA,339m,2019,PM Verification Code,
1,17-18,Isaiah Harrison,M,Hwt,17,USA,417m,2021,PM Verification Code,
1,17-18,Itai Almogy,M,Lwt,18,USA,379m,2021,PM Verification Code,
1,17-18,Isabel Bisschops,F,Hwt,17,AUS,343m,2020,PM Verification Code,
1,17-18,Ruthie Lacy,F,Lwt,18,USA,317m,2021,Witnessed at public club,
1,19-29,Phil Clapp,M,Hwt,29,GBR,431m,2020,PM Verification Code,
1,19-29,Frederick Hancock,M,Lwt,19,GBR,389m,2021,PM Verification Code,
1,19-29,Cissi Velin,F,Hwt,26,SWE,356m,2016,PM Verification Code,
1,19-29,Sofia Meakin,F,Lwt,22,SUI,327m,2020,PM Verification Code,
1,30-39,Loren Howard,M,Hwt,34,USA,430m,2019,PM Verification Code,
1,30-39,Benjamin Smith,M,Lwt,32,AUS,397m,2021,PM Verification Code,
1,30-39,Olena Buryak,F,Hwt,30,UKR,357m,2021,PM Verification Code,
1,30-39,Helen Pearce,F,Lwt,38,GBR,336m,2017,PM Verification Code,
1,40-49,John Lund,M,Hwt,43,USA,416m,2020,PM Verification Code,
1,40-49,Lasse Edvardsen,M,Hwt,44,NOR,416m,2020,PM Verification Code,
1,40-49,Tyson Whitt,M,Lwt,42,USA,375m,2020,PM Verification Code,
1,40-49,Justin Nickel,M,Lwt,40,USA,375m,2020,PM Verification Code,
1,40-49,Ana Caldas,F,Hwt,43,USA,352m,2021,PM Verification Code,
1,40-49,Samantha Johnson-Blacow,F,Lwt,40,AUS,320m,2021,PM Verification Code,
1,50-59,Paul Jeffrey,M,Hwt,53,AUS,420m,2018,PM Verification Code,
1,50-59,Jeff Arquette,M,Lwt,56,USA,376m,2018,Video,
1,50-59,Ren?te L?ne,F,Hwt,50,LAT,339m,2017,Video,
1,50-59,Dénia Amon,F,Lwt,51,GER,320m,2018,PM Verification Code,
1,60-69,Steve Bainbridge,M,Hwt,63,GBR,387m,2020,PM Verification Code,
1,60-69,Steve Roedde,M,Lwt,62,CAN,359m,2017,PM Verification Code,
1,60-69,Peta Robinson,F,Hwt,61,AUS,308m,2020,PM Verification Code,
1,60-69,Carol Woodward,F,Lwt,60,GBR,306m,2019,PM Verification Code,
1,70-79,Frank VanderSloot,M,Hwt,70,USA,354m,2019,PM Verification Code,
1,70-79,David Berry,M,Hwt,76,AUS,354m,2020,PM Verification Code,
1,70-79,Jorgen Engelbrecht,M,Lwt,71,DEN,342m,2018,PM Verification Code,
1,70-79,Barb McColl,F,Hwt,70,CAN,290m,2021,PM Verification Code,
1,70-79,Jill Gardner,F,Lwt,71,USA,289m,2020,PM Verification Code,
1,80-89,Jan Otto Kristiansen,M,Hwt,80,NOR,328m,2021,PM Verification Code,
1,80-89,Edwin Berry,M,Lwt,83,USA,311m,2020,PM Verification Code,
1,80-89,Anne Cresswell,F,Lwt,82,AUS,255m,2021,PM Verification Code,
1,80-89,Joan Bajsarowicz,F,Hwt,81,USA,247m,2019,PM Verification Code,
1,90-99,Allan Coles,M,Hwt,91,AUS,278m,2019,PM Verification Code,
1,90-99,Dean Smith,M,Lwt,94,USA,259m,2021,PM Verification Code,
1,90-99,Valerie Coleman,F,Hwt,90,GBR,165m,2021,PM Verification Code,
1,95-99,Gasper Accardi,M,Lwt,96,USA,112m,2019,Witnessed at public club,
1,100+,Anita Chionchio,F,Hwt,101,USA,134m,2019,Witnessed at public club,
30,12 and Under,Isaiah Harrison,M,,12,USA,7873m,2017,PM Verification Code,
30,12 and Under,Teagan Farley,F,,12,USA,7244m,2021,PM Verification Code,
30,13-14,Isaiah Harrison,M,,14,USA,8835m,2018,PM Verification Code,
30,13-14,Holly Davis,F,,14,IRL,7791m,2020,PM Verification Code,
30,15-16,Isaiah Harrison,M,,16,USA,9113m,2020,PM Verification Code,
30,15-16,Emily Delleman,F,,16,USA,7994m,2015,PM Verification Code,
30,17-18,Gennaro Di Mauro,M,Hwt,18,ITA,9374m,2021,PM Verification Code,
30,17-18,Oscar McGuinness,M,Lwt,18,AUS,8896m,2019,Witnessed at public club,
30,17-18,Emily Delleman,F,Hwt,17,USA,8096m,2016,PM Verification Code,
30,17-18,Brigid Kennedy,F,Lwt,18,USA,7608m,2018,PM Verification Code,
30,19-29,Oliver Zeidler,M,Hwt,23,GER,9577m,2020,PM Verification Code,
30,19-29,Jason Osborne,M,Lwt,23,GER,9061m,2018,PM Verification Code,
30,19-29,Cecilia Velin,F,Hwt,28,SWE,8333m,2018,PM Verification Code,
30,19-29,Valentina Rodini,F,Lwt,25,ITA,8093m,2021,PM Verification Code,
30,30-39,Hamish Bond,M,Hwt,34,NZL,9449m,2020,PM Verification Code,
30,30-39,Pietro Ruta,M,Lwt,32,ITA,9156m,2021,PM Verification Code,
30,30-39,Kirsten Kline,F,Hwt,32,USA,8345m,2021,PM Verification Code,
30,30-39,Lorraine Walker,F,Lwt,31,USA,8062m,2019,PM Verification Code,
30,40-49,Tom Solesbury,M,Hwt,40,GBR,9207m,2021,PM Verification Code,
30,40-49,Timothy Male,M,Lwt,41,GBR,8876m,2017,PM Verification Code,
30,40-49,Jordan Falcone,F,Hwt,40,USA,7948m,2019,PM Verification Code,
30,40-49,Justine Reston,F,Lwt,46,GBR,7884m,2016,PM Verification Code,
30,50-59,Andrew Benko,M,Hwt,50,USA,9004m,2018,PM Verification Code,
